id,Scenario,Region,WAT,Fossil,CO2,Costs,Consumption,Withdrawal,Inflow,Curtailment,ShedLoad,Label_1,Label_2
1981,Baseline,CAPP,10.20468461,7.934522426,270.5583699,31.14047483,0.016217305,1.981151496,547.3296667,5.541542506,0.107999482,,
1982,Baseline,CAPP,12.81304482,6.76222711,214.5843054,23.71744099,0.009859111,0.894850998,588.7752595,1.845747104,0.050940305,,
1983,Baseline,CAPP,9.361903585,9.123241611,303.5099943,36.13714612,0.021528999,3.357615488,400.9901729,2.229477981,0.12459431,,
1984,Baseline,CAPP,12.65737613,8.461606717,247.7497318,28.48980809,0.014924146,1.977990441,498.8055828,2.824549373,0.095203386,,
1985,Baseline,CAPP,11.44974139,6.832394929,232.5793486,25.07503342,0.00742734,0.488943777,622.8904503,5.14994688,0.023935549,,
1986,Baseline,CAPP,14.71408792,5.40902464,167.514036,18.04078079,0.00632564,0.315564877,743.2264183,7.850556713,0.028591054,,
1987,Baseline,CAPP,12.89359559,6.100260661,200.2361715,21.42814016,0.00686663,0.27729726,742.1403857,15.96093496,0.022126902,,
1988,Baseline,CAPP,15.04344449,5.243895769,161.2969599,17.37670641,0.004998388,0.138111969,1017.261799,30.79650228,0.037580077,,
1989,Baseline,CAPP,15.32775672,4.785894712,148.6092999,15.74709761,0.003907473,0.019962521,994.7117001,23.87314592,0.01619825,,
1990,Baseline,CAPP,14.02891273,5.664580344,179.4572359,19.13875096,0.005597178,0.165835591,731.124366,5.49993588,0.022648668,,
1991,Baseline,CAPP,14.15777249,6.022380627,186.0729752,19.97985098,0.006267444,0.259155113,743.8923599,11.96944024,0.029651431,,
1992,Baseline,CAPP,13.26699438,8.421879442,240.0592719,27.70336007,0.012491476,1.767897434,536.2614341,1.470864167,0.101989194,,
1993,Baseline,CAPP,9.884758491,8.359857163,283.040257,32.63552923,0.015565389,2.113489855,484.2011067,3.548735948,0.094480236,,
1994,Baseline,CAPP,13.55255245,6.364901508,198.0265136,22.37026745,0.009876813,1.170061069,738.6051403,11.6931348,0.062659606,,CAPP
1995,Baseline,CAPP,13.14082874,8.034910298,235.1037277,26.88088852,0.011944089,1.434447841,569.4633975,2.667577935,0.110883819,,
1996,Baseline,CAPP,15.00537919,4.315379864,139.3332672,14.79992951,0.004457647,0.133798053,926.303837,19.98873521,0.008853272,,
1997,Baseline,CAPP,13.92776208,4.914520414,162.6531518,17.25025486,0.005385417,0.18867121,747.2943218,8.636584915,0.00731586,,
1998,Baseline,CAPP,13.96657166,7.314858093,212.6408861,24.22533394,0.01316192,1.682076127,637.8502406,7.955388747,0.063996564,,
1999,Baseline,CAPP,12.98011574,8.327233678,241.3944019,27.85136237,0.014609021,2.052985494,558.9916128,6.183331891,0.082653047,,
2000,Baseline,CAPP,11.78240907,8.323421418,255.8521315,30.36569029,0.017588148,2.137934229,669.3525809,24.07317454,0.19606098,,
2001,Baseline,CAPP,12.71942304,8.284386262,243.5865141,28.78161015,0.016987061,2.233632366,560.719175,10.3069161,0.157114006,,
2002,Baseline,CAPP,13.46467992,6.937557119,211.8215105,23.12943814,0.00846913,0.484419322,603.8166559,5.402259527,0.063774364,CAPP,
2003,Baseline,CAPP,14.94708583,6.697414719,192.9903852,20.47484675,0.006036627,0.225236296,631.1824544,1.805658178,0.008118508,,
2004,Baseline,CAPP,13.8206854,7.130609033,211.3014852,23.2598949,0.009854559,1.018906023,581.706287,1.638854246,0.030812691,,
2005,Baseline,CAPP,12.29310824,8.624803507,254.2904078,30.12371647,0.018210717,2.628225431,499.1901607,3.733407315,0.145646502,,
2006,Baseline,CAPP,13.86716141,5.328825874,173.1882971,18.50635411,0.005368272,0.151858718,745.7030207,10.21749744,0.024756092,,
2007,Baseline,CAPP,13.1805635,8.193985748,237.0992095,27.61313817,0.012786017,1.73280271,537.9147574,2.030514407,0.13685465,,
2008,Baseline,CAPP,13.34420372,7.389886091,222.0075104,24.53874129,0.00779593,0.444557519,579.8496081,1.994276659,0.098821627,,
2009,Baseline,CAPP,14.01928898,5.63016355,178.0182184,19.56574135,0.007296718,0.664612133,685.1765849,3.527329352,0.030458903,,
2010,Baseline,CAPP,15.99858843,6.081488473,171.379821,18.50491318,0.005890731,0.464819439,682.0130645,3.028863878,0.009831295,,
2011,Baseline,CAPP,16.79443636,5.46501515,153.3380361,16.15753218,0.004259351,0.065426171,789.0132624,10.12145075,0.008744082,,
2012,Baseline,CAPP,13.15330917,7.383334657,223.5341723,24.53245721,0.009228118,0.742305731,593.3918466,3.510386715,0.049572293,,
2013,Baseline,CAPP,13.25641229,7.798817567,228.9947742,25.95654459,0.011555932,1.588364938,520.83297,1.009929445,0.044911195,,
2014,Baseline,CAPP,12.71846973,7.218248312,224.235074,25.20923713,0.010117495,1.257552059,606.9805154,6.028603987,0.049135347,,
2015,Baseline,CAPP,13.13609567,6.233261488,199.4037604,22.15052855,0.007295876,0.909467608,636.88608,1.638561118,0.024020304,,
2016,Baseline,CAPP,13.066962,8.882754047,249.5927711,29.14577572,0.014605718,2.176993945,493.7937675,1.591871364,0.099816141,,
2017,Baseline,CAPP,11.33178868,8.282324323,259.9075064,30.76923645,0.017452558,2.785513783,521.4278998,4.448114967,0.104506105,,
2018,Baseline,CAPP,16.31284748,5.618008435,160.0116325,16.79041347,0.004146666,0.034345745,716.8459822,2.06725533,0.007705727,,
1980,Baseline,EAPP,42.01999977,162.8734697,264.3591391,26.19691082,0.48577536,9.023496241,1745.297363,7.248355796,0.0080839,,
1981,Baseline,EAPP,45.22716898,161.3210111,259.9824798,25.77224912,0.477650624,8.870827043,1992.67614,2.452369526,0.008083076,,
1982,Baseline,EAPP,40.91565813,163.7736242,266.1077549,26.36532021,0.488934647,9.084286407,1812.227395,4.747023743,0.008083062,,
1983,Baseline,EAPP,36.36036553,170.6663613,274.3554076,27.16220701,0.503778961,9.368674733,1549.680047,1.593758915,0.008083046,,
1984,Baseline,EAPP,42.53310636,161.3205433,263.1539952,26.09095229,0.483495556,8.979078928,1856.610336,12.43572204,0.008083925,,
1985,Baseline,EAPP,45.01035393,161.1092442,260.1171971,25.78753769,0.477919375,8.875721734,1878.539802,4.132586833,0.008083046,,
1986,Baseline,EAPP,46.79202236,157.8831456,256.6062081,25.44416934,0.471683677,8.755996278,1980.971518,1.486561648,0.008083099,,
1987,Baseline,EAPP,51.63120906,154.2557743,249.4631448,24.75030884,0.458657568,8.509018306,2445.767708,14.14569471,0.008083062,,
1988,Baseline,EAPP,49.44665625,156.2631658,252.8089851,25.08637842,0.464634182,8.622216682,2102.454421,4.693008365,0.008083945,,
1989,Baseline,EAPP,46.18298727,158.2875646,257.5198475,25.53712991,0.473303791,8.786094957,1962.050828,5.428138359,0.00808306,,
1990,Baseline,EAPP,42.86129405,161.8330947,262.9759601,26.06138765,0.483257403,8.975882563,1893.546481,8.984964137,0.008083096,,
1991,Baseline,EAPP,44.51501821,160.3164935,260.3494944,25.8067363,0.478475158,8.884961873,1959.448695,12.63128145,0.008083088,,
1992,Baseline,EAPP,40.29805202,163.4451196,266.6798585,26.42954211,0.489951284,9.102608005,1686.969987,0.000733799,0.008083939,,
1993,Baseline,EAPP,34.09730722,172.5126041,277.8475788,27.50564467,0.510079751,9.488011978,1365.577038,0.017165762,0.008083046,,
1994,Baseline,EAPP,37.83546244,167.8554848,271.5310693,26.89734482,0.498590095,9.268348341,1538.528409,0.865038268,0.008083046,,
1995,Baseline,EAPP,40.3790623,163.2451185,266.5800364,26.41680725,0.489764959,9.098672446,1662.243572,1.210076869,0.008083046,,
1996,Baseline,EAPP,46.42294058,158.8625362,257.4302964,25.52421135,0.473182003,8.784104162,2054.335752,18.73588373,0.008083911,,
1997,Baseline,EAPP,42.42438373,164.1409239,264.4744955,26.20188803,0.485919526,9.028396658,1834.881248,10.314209,0.008083091,,
1998,Baseline,EAPP,44.49183854,159.4183308,260.0009305,25.77578204,0.477873942,8.87285836,1879.839675,5.347167384,0.008083048,,
1999,Baseline,EAPP,37.09358141,167.0496228,272.1101095,26.95190602,0.499807234,9.290083503,1487.994632,6.92761329,0.008083059,,
2000,Baseline,EAPP,34.66742318,172.8810787,277.5742748,27.50552347,0.508794215,9.484590472,1977.554617,67.21319518,0.008386971,,
2001,Baseline,EAPP,43.99820375,160.818474,261.2267494,25.89077226,0.480084018,8.915473153,1956.882308,12.86304568,0.008083061,,
2002,Baseline,EAPP,36.67124948,169.3475401,273.4545126,27.07477821,0.502212879,9.338071324,1564.281996,2.728635773,0.008083046,,
2003,Baseline,EAPP,35.0105099,168.6196444,275.3941641,27.28068709,0.505668365,9.402467019,1392.34276,0.000859153,0.008083048,,
2004,Baseline,EAPP,36.7857743,169.0772459,273.2152416,27.06013137,0.501738766,9.328179938,1536.13938,8.651520536,0.00842775,,
2005,Baseline,EAPP,38.03269852,166.2765811,270.6372451,26.80832479,0.497156918,9.239892438,1537.168268,4.123095271,0.00827392,,
2006,Baseline,EAPP,43.82402185,163.4675269,262.6000541,26.01819657,0.482502523,8.963930461,2056.873989,18.36699869,0.008084412,,
2007,Baseline,EAPP,37.59790135,167.2145739,271.4939757,26.88950415,0.49869667,9.26960084,1520.938951,1.987723279,0.008300868,,
2008,Baseline,EAPP,35.99893657,169.0936508,274.1533772,27.14757705,0.503515804,9.361332365,1449.789064,0.716001038,0.008083941,,
2009,Baseline,EAPP,34.67356727,171.8625006,276.8831255,27.41542211,0.50829117,9.45385421,1532.915711,12.74628264,0.0082139,,
2010,Baseline,EAPP,40.47725741,162.0863522,265.9619591,26.36124292,0.488668697,9.076580595,1762.370843,19.02775911,0.008095872,,
2011,Baseline,EAPP,41.58357316,161.4888455,264.3907013,26.20179035,0.485868716,9.023997094,1706.723954,10.28781201,0.008083069,,
2012,Baseline,EAPP,39.62467538,166.1056624,268.5580288,26.61241104,0.493338137,9.167978801,1603.878985,0.986102338,0.00905555,EAPP,EAPP
2013,Baseline,EAPP,38.43407827,166.0837073,270.0883844,26.75546379,0.496158044,9.220955142,1647.041701,7.538201605,0.008456596,,
2014,Baseline,EAPP,33.86449203,172.9403457,278.294406,27.56270724,0.51086157,9.50330776,1381.924133,10.13566394,0.009591689,,
2015,Baseline,EAPP,33.53394903,172.5410838,278.506753,27.5788451,0.511356325,9.511746134,1511.416083,1.881890291,0.009538724,,
2016,Baseline,EAPP,32.01914223,172.6430325,280.513233,27.78554432,0.514891988,9.577939829,1279.462591,9.21E-05,0.009101032,,
