,CAPP,EAPP,NAPP,SAPP,WAPP,Africa
Baseline,256.6632065,277.9369442,462.1968204,635.5918691,301.9585229,461.1218206
Connected,122.1656587,262.2060797,453.843909,625.7786384,262.5002815,453.8580242
