,CAPP,EAPP,NAPP,SAPP,WAPP,Africa
Baseline,23.8095372,26.42954211,35.05471417,17.25296745,24.41308207,24.17485028
Connected,12.66023297,25.66340492,33.79088695,17.4261589,20.59484805,23.06538036
