AT,1735630.76
BG,2240914
CH,5732197.1
ES,13674197.4
FI,4512000
FR,2845905
HR,1247290
IT,4485036
LT,12096.7
LV,11167
ME,480803
NO,76191000
PT,2897771
RO,2641200
RS,522000
SE,30694000
SI,2600
DE,1735630.76
SK,1735630.76
