h,n,id,Demand,rl,pump_in,pump_out,pump_net,rl_w_pumping,rrl,rrlwp,xid
2016-02-10T04:00:00Z,LT,2008,1075,910.31814,680.295322289541,0,-680.295322289541,1590.613462289541,2027,8499,0.7686073059360731
2016-09-15T20:00:00Z,LT,1996,1292,938.9626900000001,0,0.9840154857362968,0.9840154857362968,937.9786745142637,2028,1907,0.7684931506849315
2016-08-07T22:00:00Z,LT,2008,1049,910.41457,0,0,0,910.41457,2028,1867,0.7684931506849315
2016-06-02T23:00:00Z,LT,1996,961,939.15881,0,0,0,939.15881,2029,1914,0.76837899543379
2016-02-18T22:00:00Z,LT,2008,1157,910.62873,679.984732289541,0,-679.984732289541,1590.613462289541,2029,8525,0.76837899543379
2016-07-04T00:00:00Z,LT,1996,968,939.25168,0,0,0,939.25168,2030,1915,0.7682648401826484
2016-10-03T06:00:00Z,LT,2008,1176,910.6372237986028,717.6122437887911,0,-717.6122437887911,1628.249467587394,2030,8703,0.7682648401826484
2016-10-24T01:00:00Z,LT,1996,979,939.30309,0,0,0,939.30309,2031,1916,0.7681506849315068
2016-07-21T23:00:00Z,LT,2008,929,910.6607300000001,743.1110000000001,0,-743.1110000000001,1653.7717300000002,2031,8723,0.7681506849315068
2016-06-26T23:00:00Z,LT,1996,941,939.33048,524.5079253640754,0,-524.5079253640754,1463.8384053640752,2032,7366,0.7680365296803653
2016-06-21T11:00:00Z,LT,2008,1176,910.6730809116623,0,0,0,910.6730809116623,2032,1868,0.7680365296803653
2016-11-03T05:00:00Z,LT,1996,1266,939.35943,0,0,0,939.35943,2033,1917,0.7679223744292237
2016-03-29T09:00:00Z,LT,2008,1248,910.6987557325551,382.7380439450544,0,-382.7380439450544,1293.4367996776095,2033,6295,0.7679223744292237
2016-08-31T22:00:00Z,LT,1996,950,939.40262,0,0,0,939.40262,2034,1918,0.7678082191780822
2016-06-21T06:00:00Z,LT,2008,995,910.8704430885258,689.2821569114742,0,-689.2821569114742,1600.1526,2034,8595,0.7678082191780822
2016-10-26T01:00:00Z,LT,1996,954,939.56985,589.2194948724359,0,-589.2194948724359,1528.7893448724358,2035,7799,0.7676940639269406
2016-04-28T22:00:00Z,LT,2008,1007,910.91098,0,0,0,910.91098,2035,1870,0.7676940639269406
2016-05-01T05:00:00Z,LT,1996,981,939.5737991518477,0,0,0,939.5737991518477,2036,1920,0.7675799086757991
2016-11-29T00:00:00Z,LT,2008,1001,910.92736,177.131213842826,0,-177.131213842826,1088.058573842826,2036,3831,0.7675799086757991
2016-01-04T04:00:00Z,LT,1996,945,939.65041,717.711796815911,0,-717.711796815911,1657.3622068159111,2037,8544,0.7674657534246575
2016-03-06T05:00:00Z,LT,2008,1258,910.95362,644.1654463364662,0,-644.1654463364662,1555.1190663364662,2037,8266,0.7674657534246575
2016-03-26T00:00:00Z,LT,1996,1044,939.70081,743.1110000000001,0,-743.1110000000001,1682.8118100000002,2038,8622,0.767351598173516
2016-09-23T22:00:00Z,LT,2008,1034,911.0154200000001,0,0,0,911.0154200000001,2038,1871,0.767351598173516
2016-03-14T13:00:00Z,LT,1996,1306,939.8644270890975,0,0,0,939.8644270890975,2039,1922,0.7672374429223744
2016-08-08T07:00:00Z,LT,2008,1212,911.0779700783894,0,243.2166815237655,243.2166815237655,667.8612885546239,2039,586,0.7672374429223744
2016-10-31T23:00:00Z,LT,1996,960,939.93013,0,0,0,939.93013,2040,1923,0.7671232876712328
2016-05-26T02:00:00Z,LT,2008,927,911.12429,689.0283100000001,0,-689.0283100000001,1600.1526000000001,2040,8631,0.7671232876712328
2016-12-06T02:00:00Z,LT,1996,1010,939.94633,607.187208967146,0,-607.187208967146,1547.133538967146,2041,7937,0.7670091324200914
2016-08-18T05:00:00Z,LT,2008,1125,911.3595529742431,0,0,0,911.3595529742431,2041,1873,0.7670091324200914
2016-03-08T01:00:00Z,LT,1996,940,939.9491,448.0805674786941,0,-448.0805674786941,1388.0296674786941,2042,6980,0.7668949771689497
2016-04-22T03:00:00Z,LT,2008,984,911.37588,600.695797247901,0,-600.695797247901,1512.071677247901,2042,7915,0.7668949771689497
2016-10-26T02:00:00Z,LT,1996,956,940.05812,588.7312248724359,0,-588.7312248724359,1528.7893448724358,2043,7800,0.7667808219178083
2016-06-13T01:00:00Z,LT,2008,917,911.5028,130.81986383817127,0,-130.81986383817127,1042.3226638381711,2043,3184,0.7667808219178083
2016-04-09T02:00:00Z,LT,1996,990,940.13836,0,0,0,940.13836,2044,1924,0.7666666666666666
2016-10-31T19:00:00Z,LT,2008,1245,911.51847,0,0,0,911.51847,2044,1874,0.7666666666666666
2016-03-21T00:00:00Z,LT,1996,985,940.17746,134.6831111606939,0,-134.6831111606939,1074.8605711606938,2045,3322,0.7665525114155252
2016-10-11T12:00:00Z,LT,2008,1222,911.52125370983,0,0,0,911.52125370983,2045,1875,0.7665525114155252
