Region,C_ES-SH-HO_ELC,C_ES-SH-HO_ELC01,C_ES-SH-HR_ELC,C_ES-SH-HR_ELC01,C_ES-SH-HR_ELC03,C_ES-SH-OF_ELC,C_ES-SH-OF_ELC01,C_ES-SH-OF_ELC03,C_ES-SH-SL_ELC,C_ES-SH-SL_ELC01,C_ES-SH-SL_ELC03,C_ES-SH-SR_ELC,C_ES-SH-SR_ELC01,C_ES-SH-SR_ELC03,C_ES-SH-SS_ELC,C_ES-SH-SS_ELC01,C_ES-SH-SS_ELC03,C_ES-WH-HO_ELC01,C_ES-WH-HR_ELC01,C_ES-WH-OF_ELC01,C_ES-WH-OF_GAS,C_ES-WH-SL_ELC01,C_ES-WH-SL_GAS,C_ES-WH-SR_ELC01,C_ES-WH-SR_GAS,C_ES-WH-SS_ELC01,C_ES-WH-SS_GAS,R_ES-SH-DH_ELC01,R_ES-SH-DH_ELC04,R_ES-SH-DH_ELC05,R_ES-SH-DH_ELC07,R_ES-SH-DH_ELC-HPA,R_ES-SH-DH_ELC-HPG,R_ES-SH-DH_ELC-R,R_ES-SH-DH-70_ELC01,R_ES-SH-DH-70_ELC04,R_ES-SH-DH-70_ELC05,R_ES-SH-DH-70_ELC07,R_ES-SH-DH-70_ELC-HPA,R_ES-SH-DH-70_ELC-HPG,R_ES-SH-DH-70_ELC-R,R_ES-SH-FL_ELC01,R_ES-SH-FL_ELC04,R_ES-SH-FL_ELC07,R_ES-SH-FL_ELC-HPA,R_ES-SH-FL_ELC-HPG,R_ES-SH-FL_ELC-R,R_ES-SH-SD_ELC01,R_ES-SH-SD_ELC04,R_ES-SH-SD_ELC05,R_ES-SH-SD_ELC-HPA,R_ES-SH-SD_ELC-HPG,R_ES-SH-SD_ELC-R,R_ES-WH-DH_ELC,R_ES-WH-DH_ELC01,R_ES-WH-FL_ELC,R_ES-WH-FL_ELC01,R_ES-WH-SD_ELC,R_ES-WH-SD_ELC01,C_ES-SH-HO_ELC01,C_ES-SH-HR_ELC01,C_ES-SH-HR_ELC03,C_ES-SH-OF_ELC01,C_ES-SH-OF_ELC03,C_ES-SH-SL_ELC01,C_ES-SH-SL_ELC03,C_ES-SH-SR_ELC01,C_ES-SH-SR_ELC03,C_ES-SH-SS_ELC01,C_ES-SH-SS_ELC03,C_ES-WH-HO_ELC01,C_ES-WH-HR_ELC01,C_ES-WH-OF_ELC01,C_ES-WH-SL_ELC01,C_ES-WH-SR_ELC01,C_ES-WH-SS_ELC01,R_ES-SH-DH_ELC01,R_ES-SH-DH_ELC02,R_ES-SH-DH_ELC04,R_ES-SH-DH_ELC05,R_ES-SH-DH_ELC07,R_ES-SH-DH-70_ELC01,R_ES-SH-DH-70_ELC02,R_ES-SH-DH-70_ELC04,R_ES-SH-DH-70_ELC05,R_ES-SH-DH-70_ELC07,R_ES-SH-FL_ELC01,R_ES-SH-FL_ELC04,R_ES-SH-FL_ELC05,R_ES-SH-FL_ELC07,R_ES-SH-SD_ELC01,R_ES-SH-SD_ELC02,R_ES-SH-SD_ELC04,R_ES-SH-SD_ELC05,R_ES-SH-SD_ELC07,R_ES-WH-DH_ELC01,R_ES-WH-FL_ELC01,R_ES-WH-SD_ELC01
EE,0.2,0.4,0.0,0.1,,0.3,0.6,,0.1,0.2,,0.1,0.3,,0.1,0.1,,0.4,0.1,0.5,,0.1,,0.3,,0.1,,0.0,0.3,,0.1,0.0,0.0,,0.0,1.2,,,0.0,0.0,,0.8,1.0,0.1,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.1,,0.2,0.0,0.1,0.7,0.1,0.1,1.0,0.6,0.2,0.2,0.5,0.3,0.2,0.1,0.5,0.1,0.8,0.2,0.4,0.2,0.0,,1.5,,1.4,0.0,,2.6,,0.0,1.3,0.1,,,0.0,,1.0,,,0.1,0.3,0.1
EL,0.5,1.0,0.6,1.4,0.4,1.3,2.9,0.6,0.5,1.1,0.3,0.1,0.3,0.1,0.7,1.7,0.2,0.9,2.9,1.5,,0.3,,0.4,,0.4,,0.1,,,,,,,0.2,,,,,,,7.2,,,,,0.2,0.7,,,,,0.1,,6.0,,4.3,,3.4,1.7,2.4,1.4,4.7,2.7,1.8,1.0,0.5,0.3,2.7,0.9,0.8,2.8,1.3,0.3,0.3,0.4,5.4,,,,7.8,4.1,,,,15.2,7.6,,8.4,7.7,3.1,5.5,,,,0.4,4.3,0.2
ES,1.8,4.0,2.6,5.6,,5.3,11.4,,2.0,4.3,,0.6,1.2,,3.3,7.1,,2.3,11.0,3.6,,0.9,,0.9,,1.1,,1.4,,13.7,,0.0,,,1.6,4.5,,,0.1,,,27.5,4.8,0.1,0.2,,,7.6,,,0.1,,0.6,,4.4,,16.6,,12.3,6.3,8.9,9.4,17.5,19.0,6.7,7.0,2.0,1.9,10.8,6.8,2.5,8.1,3.8,0.9,1.0,1.1,11.7,,,0.2,11.7,3.0,15.1,,,,46.6,0.2,,37.2,10.7,27.0,,0.8,,0.6,19.7,8.3
FI,2.3,4.5,0.4,0.7,0.1,3.2,6.5,2.2,0.8,1.6,0.4,1.6,3.1,1.0,0.9,1.7,0.2,1.2,0.2,1.7,,0.4,,0.8,,0.3,,1.3,19.8,,,0.9,0.1,,1.4,19.0,,2.4,1.0,0.1,,2.0,,1.1,0.5,0.1,,3.0,3.2,,0.7,0.1,,0.0,3.5,,2.5,0.0,2.6,6.8,1.1,0.4,9.7,3.6,2.4,0.9,4.7,1.7,2.6,0.5,2.3,0.3,2.5,0.6,1.2,0.5,2.7,,,6.1,16.9,2.6,,0.3,1.3,30.6,2.8,3.2,,0.3,3.9,,,15.6,,3.3,2.7,2.9
FR,6.6,13.1,5.0,10.0,,17.9,35.7,,6.8,13.7,,4.6,9.2,,9.8,19.7,,2.6,8.2,6.0,,1.5,,3.1,,1.5,,16.8,,79.1,4.0,2.4,0.4,,4.3,,,,1.2,0.2,4.0,15.0,7.2,1.1,1.2,0.2,,18.2,,,1.7,0.3,,8.4,15.6,1.6,15.8,7.4,13.8,19.7,15.0,27.4,53.6,98.4,20.5,37.7,13.8,25.4,29.5,32.2,3.3,4.9,5.9,1.3,2.7,1.3,52.8,,,0.7,185.2,9.5,,0.1,,49.0,45.7,,0.9,42.2,43.7,,,95.7,20.7,18.7,2.8,
HR,0.1,0.2,0.1,0.2,,0.2,0.5,,0.1,0.2,,0.0,0.1,,0.1,0.3,,0.3,0.9,0.3,,0.1,,0.1,,0.1,,0.0,,,,,,,1.7,,,,,,,3.4,,,,,0.0,1.3,,,,,0.0,0.5,1.4,,0.5,0.2,0.5,0.3,0.4,0.8,0.7,1.8,0.3,0.7,0.1,0.2,0.4,0.8,0.2,0.6,0.3,0.1,0.1,0.1,4.0,,,,8.6,0.0,,,,8.3,1.9,,,1.9,0.0,0.6,,,,0.2,0.3,0.5
HU,0.2,0.4,0.3,0.7,,0.9,1.8,,0.4,0.9,,0.1,0.3,,0.4,0.8,,0.1,0.6,0.3,,0.1,,0.2,0.1,0.1,0.0,1.0,,,,0.0,0.0,,0.9,,,,0.0,0.0,,3.0,0.0,0.0,,,,0.7,,,,,0.0,0.0,1.5,,0.1,0.1,0.4,0.6,1.0,5.4,2.7,18.0,1.3,8.6,0.4,2.8,1.2,5.4,0.2,0.6,0.5,0.2,0.2,0.1,0.7,,0.0,,10.4,1.4,,0.2,,25.5,5.4,,,,1.0,,4.0,,1.7,1.1,,0.2
IE,0.2,0.4,0.2,0.3,,1.0,2.0,,0.6,1.3,,0.1,0.2,,0.4,0.7,,0.1,0.2,0.3,,0.1,,0.1,,0.1,,0.4,,1.1,0.5,0.0,0.0,,0.1,,,,0.0,0.0,0.3,0.4,,,,,,1.3,,,0.0,0.0,,,1.4,,0.2,0.1,2.1,0.7,0.5,1.5,3.0,8.7,1.9,5.7,0.3,0.8,1.1,2.2,0.1,0.2,0.3,0.1,0.1,0.1,0.4,,,0.0,7.2,0.3,,,,7.9,0.5,,,,3.8,9.8,,,,1.6,0.3,
IS,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.1,,0.0,,0.0,,0.0,,0.1,0.5,,,,,,0.1,0.4,,,,,0.0,0.2,,,,,,0.2,,,,,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.6,0.0,0.2,0.1,1.7,0.0,0.4,0.0,0.8,0.0,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.1,,,,1.3,0.1,,,,1.1,0.2,,,,0.2,,,,0.1,0.2,0.1,0.2
IT,1.8,3.7,2.6,5.5,,5.3,10.8,,2.0,4.1,,0.6,1.2,,3.6,7.4,,1.9,6.4,3.0,,0.7,0.0,0.7,,0.8,,0.1,,24.0,,0.1,,,0.0,,,,0.1,,0.0,16.4,21.0,0.1,0.3,,,0.3,,,0.1,,0.0,0.0,2.4,1.0,8.9,0.0,4.4,5.6,8.1,37.2,16.1,74.3,6.1,28.2,1.8,8.2,11.1,31.4,1.9,16.5,8.7,1.7,2.0,1.5,5.3,,,,43.9,5.8,,,,34.7,63.9,1.0,112.8,75.8,30.8,,,69.2,17.3,1.5,6.1,5.4
