Scenario,Week,Region,Level,id
Baseline,27,NAPP,159122.1024,1981
Baseline,28,NAPP,150748.0667,1981
Baseline,29,NAPP,145404.8171,1981
Baseline,30,NAPP,140678.9794,1981
Baseline,31,NAPP,136109.3072,1981
Baseline,32,NAPP,135180.9591,1981
Baseline,33,NAPP,135718.8697,1981
Baseline,34,NAPP,134553.5007,1981
Baseline,35,NAPP,136498.7339,1981
Baseline,36,NAPP,136416.465,1981
Baseline,37,NAPP,137430.4509,1981
Baseline,38,NAPP,141273.1467,1981
Baseline,39,NAPP,147278.4552,1981
Baseline,40,NAPP,149792.0042,1981
Baseline,41,NAPP,147945.9221,1981
Baseline,42,NAPP,146559.9081,1981
Baseline,43,NAPP,145183.7968,1981
Baseline,44,NAPP,144382.6795,1981
Baseline,45,NAPP,142950.2972,1981
Baseline,46,NAPP,141971.3367,1981
Baseline,47,NAPP,141633.1732,1981
Baseline,48,NAPP,140161.7352,1981
Baseline,49,NAPP,140260.9963,1981
Baseline,50,NAPP,140268.3864,1981
Baseline,51,NAPP,141147.5145,1981
Baseline,52,NAPP,141056.2796,1981
Baseline,0,SAPP,13097183.33,1981
Baseline,1,SAPP,13067485.4,1981
Baseline,2,SAPP,13061781.91,1981
Baseline,3,SAPP,13055157.31,1981
Baseline,4,SAPP,13063033.32,1981
Baseline,5,SAPP,13083029.69,1981
Baseline,6,SAPP,13095997.2,1981
Baseline,7,SAPP,13139461.57,1981
Baseline,8,SAPP,13177079.44,1981
Baseline,9,SAPP,13192730.69,1981
Baseline,10,SAPP,13241155.05,1981
Baseline,11,SAPP,13302151.96,1981
Baseline,12,SAPP,13381302.83,1981
Baseline,13,SAPP,13468707.47,1981
Baseline,14,SAPP,13565195.23,1981
Baseline,15,SAPP,13653062.79,1981
Baseline,16,SAPP,13724763.09,1981
Baseline,17,SAPP,13787288.86,1981
Baseline,18,SAPP,13852426.21,1981
Baseline,19,SAPP,13937461.18,1981
Baseline,20,SAPP,14022198.65,1981
Baseline,21,SAPP,14024916.06,1981
Baseline,22,SAPP,13984963.69,1981
Baseline,23,SAPP,13920471.77,1981
Baseline,24,SAPP,13820993.01,1981
Baseline,25,SAPP,13746902.54,1981
Baseline,26,SAPP,13684543.79,1981
Baseline,27,SAPP,13708297.37,1981
Baseline,28,SAPP,13840502.2,1981
Baseline,29,SAPP,13887591.29,1981
Baseline,30,SAPP,13869905.73,1981
Baseline,31,SAPP,13883990.37,1981
Baseline,32,SAPP,13883236.29,1981
Baseline,33,SAPP,13916473.84,1981
Baseline,34,SAPP,13901572.15,1981
Baseline,35,SAPP,13843747.82,1981
Baseline,36,SAPP,13805458.22,1981
Baseline,37,SAPP,13803719.9,1981
Baseline,38,SAPP,13787015.66,1981
Baseline,39,SAPP,13768715.04,1981
Baseline,40,SAPP,13715410.56,1981
Baseline,41,SAPP,13659611.7,1981
Baseline,42,SAPP,13610320.99,1981
Baseline,43,SAPP,13575662.46,1981
Baseline,44,SAPP,13551091.15,1981
Baseline,45,SAPP,13448401.63,1981
Baseline,46,SAPP,13354642.26,1981
Baseline,47,SAPP,13281256.36,1981
Baseline,48,SAPP,13218367.17,1981
Baseline,49,SAPP,13156226.23,1981
Baseline,50,SAPP,13113840.93,1981
Baseline,51,SAPP,13106023.41,1981
Baseline,52,SAPP,13094299.8,1981
Baseline,0,WAPP,9369134.853,1981
Baseline,1,WAPP,9306872.742,1981
Baseline,2,WAPP,9233589.258,1981
Baseline,3,WAPP,9144401.251,1981
Baseline,4,WAPP,9051854.83,1981
Baseline,5,WAPP,8957766.83,1981
Baseline,6,WAPP,8865144.108,1981
Baseline,7,WAPP,8782999.525,1981
Baseline,8,WAPP,8691153.659,1981
Baseline,9,WAPP,8584356.842,1981
Baseline,10,WAPP,8478847.507,1981
Baseline,11,WAPP,8380120.495,1981
Baseline,12,WAPP,8290526.541,1981
Baseline,13,WAPP,8215083.865,1981
Baseline,14,WAPP,8150899.192,1981
Baseline,15,WAPP,8095856.131,1981
Baseline,16,WAPP,8047853.761,1981
Baseline,17,WAPP,8011019.264,1981
Baseline,18,WAPP,7982081.838,1981
Baseline,19,WAPP,7966995.563,1981
Baseline,20,WAPP,7960224.384,1981
Baseline,21,WAPP,7954818.51,1981
Baseline,22,WAPP,7962577.776,1981
Baseline,23,WAPP,7973748.08,1981
Baseline,24,WAPP,7975037.013,1981
Baseline,25,WAPP,7971029.3,1981
Baseline,26,WAPP,7965892.463,1981
Baseline,27,WAPP,7967596.08,1981
Baseline,28,WAPP,7991006.976,1981
Baseline,29,WAPP,8053675.687,1981
Baseline,30,WAPP,8149932.833,1981
Baseline,31,WAPP,8264704.936,1981
Baseline,32,WAPP,8386581.326,1981
Baseline,33,WAPP,8524666.624,1981
Baseline,34,WAPP,8670697.773,1981
Baseline,35,WAPP,8824437.777,1981
Baseline,36,WAPP,8988860.891,1981
Baseline,37,WAPP,9156971.283,1981
Baseline,38,WAPP,9299670.873,1981
Baseline,39,WAPP,9421312.545,1981
Baseline,40,WAPP,9535058.462,1981
Baseline,41,WAPP,9634612.734,1981
Baseline,42,WAPP,9713198.323,1981
Baseline,43,WAPP,9773096.263,1981
Baseline,44,WAPP,9816620.45,1981
Baseline,45,WAPP,9839740.465,1981
Baseline,46,WAPP,9824000.266,1981
Baseline,47,WAPP,9788280.584,1981
Baseline,48,WAPP,9731384.938,1981
Baseline,49,WAPP,9659027.035,1981
Baseline,50,WAPP,9569521.773,1981
Baseline,51,WAPP,9468863.299,1981
Baseline,52,WAPP,9425939.084,1981
Baseline,0,CAPP,199833.3344,1985
Baseline,1,CAPP,184724.3335,1985
Baseline,2,CAPP,199693.6711,1985
Baseline,3,CAPP,210176.3483,1985
Baseline,4,CAPP,206644.9151,1985
Baseline,5,CAPP,188156.2147,1985
Baseline,6,CAPP,189469.2148,1985
Baseline,7,CAPP,199223.6139,1985
Baseline,8,CAPP,211406.6916,1985
Baseline,9,CAPP,216996.7588,1985
Baseline,10,CAPP,213538.047,1985
Baseline,11,CAPP,202382.1426,1985
Baseline,12,CAPP,200821.1644,1985
Baseline,13,CAPP,199380.1369,1985
Baseline,14,CAPP,196038.7146,1985
Baseline,15,CAPP,214811.8485,1985
Baseline,16,CAPP,226679.9866,1985
Baseline,17,CAPP,253498.2685,1985
Baseline,18,CAPP,351318.7815,1985
Baseline,19,CAPP,415557.7087,1985
Baseline,20,CAPP,449005.6602,1985
Baseline,21,CAPP,460948.0067,1985
Baseline,22,CAPP,464768.3741,1985
Baseline,23,CAPP,464419.6268,1985
Baseline,24,CAPP,463545.9407,1985
Baseline,25,CAPP,457235.564,1985
Baseline,26,CAPP,448086.8582,1985
Baseline,27,CAPP,435884.8407,1985
Baseline,28,CAPP,420595.1295,1985
Baseline,29,CAPP,404235.4349,1985
Baseline,30,CAPP,386339.0899,1985
Baseline,31,CAPP,363436.4481,1985
Baseline,32,CAPP,338385.2012,1985
Baseline,33,CAPP,312242.581,1985
Baseline,34,CAPP,284728.6602,1985
Baseline,35,CAPP,254262.3833,1985
Baseline,36,CAPP,220411.5353,1985
Baseline,37,CAPP,191573.6032,1985
Baseline,38,CAPP,162516.1111,1985
Baseline,39,CAPP,138826.8487,1985
Baseline,40,CAPP,120092.8732,1985
Baseline,41,CAPP,106566.4899,1985
Baseline,42,CAPP,111222.0986,1985
Baseline,43,CAPP,115861.903,1985
Baseline,44,CAPP,118714.6138,1985
Baseline,45,CAPP,115828.4081,1985
Baseline,46,CAPP,148245.3756,1985
Baseline,47,CAPP,180545.0791,1985
Baseline,48,CAPP,214561.0246,1985
Baseline,49,CAPP,225160.6197,1985
Baseline,50,CAPP,238284.7054,1985
Baseline,51,CAPP,239660.6999,1985
Baseline,52,CAPP,244577.0456,1985
Baseline,0,EAPP,14051899.92,1985
Baseline,1,EAPP,14198332.93,1985
Baseline,2,EAPP,14310217.39,1985
Baseline,3,EAPP,14358150.85,1985
Baseline,4,EAPP,14549254.11,1985
Baseline,5,EAPP,14756600.69,1985
Baseline,6,EAPP,14888507.95,1985
Baseline,7,EAPP,14990850.08,1985
Baseline,8,EAPP,15079635.59,1985
Baseline,9,EAPP,15129074.64,1985
Baseline,10,EAPP,15127850.67,1985
Baseline,11,EAPP,15097273.93,1985
Baseline,12,EAPP,15094833.64,1985
Baseline,13,EAPP,15207946.28,1985
Baseline,14,EAPP,15617598.35,1985
Baseline,15,EAPP,16083876.8,1985
Baseline,16,EAPP,16448477.98,1985
Baseline,17,EAPP,16685604.01,1985
Baseline,18,EAPP,16744688.92,1985
Baseline,19,EAPP,16749070.42,1985
Baseline,20,EAPP,16652833.46,1985
Baseline,21,EAPP,16476768.85,1985
Baseline,22,EAPP,16242376.45,1985
Baseline,23,EAPP,15966601.7,1985
Baseline,24,EAPP,15699457.65,1985
Baseline,25,EAPP,15465405.44,1985
Baseline,26,EAPP,15217408.09,1985
Baseline,27,EAPP,14961924.79,1985
Baseline,28,EAPP,14707765.97,1985
Baseline,29,EAPP,14477938.35,1985
Baseline,30,EAPP,14265253,1985
Baseline,31,EAPP,14049895.7,1985
Baseline,32,EAPP,13845668.04,1985
Baseline,33,EAPP,13671241.5,1985
Baseline,34,EAPP,13476541.24,1985
Baseline,35,EAPP,13285015.82,1985
