Region,TWh
AT,22.83388889
BE,34.22666667
BG,10.22638889
CH,14.57833333
CY,2.151111111
CZ,16.52416667
DE,117.3902778
DK,21.16111111
EE,2.845
EL,11.1875
ES,69.19805556
FI,7.761111111
FR,130.8861111
HR,5.261388889
HU,11.55027778
IE,13.85222222
IS,0.575
IT,97.785
LT,4.651666667
LU,6.498055556
LV,2.873055556
MT,0.193888889
NL,96.08666667
NO,8.882777778
PL,46.07638889
PT,16.82555556
RO,15.09333333
SE,18.27666667
SI,4.548611111
SK,5.246666667
UK,123.6269444
