TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[GW or GWh]	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
CAR_CapitalfUEL_CELL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.200000	0.200000	1.000000	1.031250	0.000000	%f\t
TRAIN_CapitalfREIGHT	0.000000	0.000000	1.000000	0.920000	3.200000	3.200000	0.000000	1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
TRUCK	0.000000	0.000000	1.000000	0.920000	3.200000	3.200000	0.000000	1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
DAM_STORAGE	0.000000	0.000000	1.000000	7500.000000	7500.000000	9900.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
LNG_STO	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
PHES	1837.620000	7.380000	40.000000	369.000000	369.000000	1700.000000	0.000000	-1.000000	1.000000	1.000000	0.044141	3073.770000	%f\t
BATT_LI	0.000000	0.000000	15.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.084526	0.000000	%f\t
BEV_BATT	0.000000	0.000000	1.000000	0.000000	20.880000	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	1.276000	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
TS_DEC_HP_ELEC	353.676618	0.000000	25.000000	0.000000	17.456891	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_DIRECT_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DHN_DAILY	147.738649	0.000000	25.000000	0.000000	14.584269	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DHN_SEASONAL	161.806556	0.000000	25.000000	0.000000	48.156713	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_THHP_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_COGEN_OIL	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_BOILER_GAS	130.646332	0.000000	25.000000	0.000000	6.448486	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_BOILER_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
TS_DEC_BOILER_OIL	70.735920	0.000000	25.000000	0.000000	3.491408	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
NEWSOLAR_STORAGE	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.067995	0.000000	%f\t
ECapitalfCapitalfICIENCY	1799.757576	0.000000	1.000000	0.000000	0.969697	20.000000	0.000000	-1.000000	1.000000	1.000000	1.031250	0.000000	%f\t
DHN	4142.957966	0.000000	60.000000	0.000000	4.697444	20.000000	0.000000	-1.000000	1.000000	1.000000	0.037106	0.000000	%f\t
GRID	61100.000000	0.000000	80.000000	0.000000	1.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	0.034164	0.000000	%f\t
POWER2GAS_in	0.000000	0.000000	1.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.900000	1.031250	0.000000	%f\t
POWER2GAS_out	0.000000	0.000000	1.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.900000	1.031250	0.000000	%f\t
POWER2GAS	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	1.000000	0.058231	0.000000	%f\t
H2_ELECTROLYSIS	192.110317	19.212786	15.000000	0.000000	0.584864	20.000000	0.000000	-1.000000	1.000000	0.900000	0.084526	0.000000	%f\t
H2_NG	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.860000	0.058231	0.000000	%f\t
H2_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.860000	0.058231	0.000000	%f\t
GASICapitalfICATION_SNG	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.850000	0.058231	0.000000	%f\t
PYROLYSIS	0.000000	0.000000	25.000000	0.000000	0.000000	20.000000	0.000000	-1.000000	1.000000	0.850000	0.058231	0.000000	%f\t
NEWSOLAR_SOLTOHEAT	2997.130381	0.000000	30.000000	0.000000	14.985652	20.000000	0.000000	-1.000000	1.000000	1.000000	0.051847	0.000000	%f\t
