Time	DAM_STORAGE	LNG_STO	PHES	BATT_LI	BEV_BATT	PHEV_BATT	NEWSOLAR_STORAGE	DAM_STORAGE_in	DAM_STORAGE_out	LNG_STO_in	LNG_STO_out	PHES_in	PHES_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	NEWSOLAR_STORAGE_in	NEWSOLAR_STORAGE_out	
 23	4758.814907	0.000000	167.906704	0.000000	0.854195	0.044888	0.000000	-0.624550	1.798238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.046761	0.046761	-0.006592	0.006592	0.000000	0.000000	
 24	4757.444893	0.000000	167.906704	0.000000	0.902322	0.047418	0.000000	-0.622452	1.992466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.067003	0.018705	-0.005175	0.002637	0.000000	0.000000	
 25	4756.718903	0.000000	167.906704	0.000000	0.890451	0.045760	0.000000	-0.774412	1.500403	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011690	0.000000	0.001648	0.000000	0.000000	
 26	4755.507390	0.000000	167.906704	0.000000	0.885597	0.045092	0.000000	-0.769989	1.981502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004676	0.000000	0.000659	0.000000	0.000000	
 27	4754.776022	0.000000	167.906704	0.000000	0.883082	0.044753	0.000000	-0.765499	1.496866	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002338	0.000000	0.000330	0.000000	0.000000	
 28	4753.666801	0.000000	167.906704	0.000000	0.854848	0.040789	0.000000	-0.761009	1.870230	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028057	0.000000	0.003955	0.000000	0.000000	
 29	4751.979696	0.000000	167.906704	0.000000	0.779859	0.039140	0.000000	-0.756585	2.443690	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.074818	-0.008908	0.010548	0.000000	0.000000	
 30	4750.113762	0.000000	167.906704	0.000000	0.744664	0.039133	0.000000	-0.752095	2.618029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.152006	0.187045	-0.026370	0.026370	0.000000	0.000000	
 31	4746.631035	0.000000	167.906704	0.000000	0.744515	0.039125	0.000000	-0.747605	4.230331	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.362400	0.362400	-0.051091	0.051091	0.000000	0.000000	
 32	4743.177193	0.000000	167.906704	0.000000	0.744366	0.039117	0.000000	-0.743181	4.197023	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.315638	0.315638	-0.044499	0.044499	0.000000	0.000000	
 33	4741.486214	0.000000	165.886999	0.000000	0.744217	0.039109	0.000000	-0.738691	2.429670	0.000000	0.000000	0.000000	2.019704	0.000000	0.000000	-0.292258	0.292258	-0.041203	0.041203	0.000000	0.000000	
 34	4737.866298	0.000000	165.886999	0.000000	0.744069	0.039101	0.000000	-0.734201	4.354116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.327330	0.327330	-0.046147	0.046147	0.000000	0.000000	
 35	4734.101693	0.000000	165.886999	0.000000	0.743920	0.039093	0.000000	-0.729777	4.494382	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 36	4730.197909	0.000000	165.886999	0.000000	0.743771	0.039086	0.000000	-0.725287	4.629071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.411500	0.411500	-0.058014	0.058014	0.000000	0.000000	
 37	4726.554740	0.000000	165.886999	0.000000	0.743622	0.039078	0.000000	-0.720797	4.363966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.374090	0.374090	-0.052740	0.052740	0.000000	0.000000	
 38	4722.882234	0.000000	165.886999	0.000000	0.743474	0.039070	0.000000	-0.716373	4.388880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.378766	0.378766	-0.053399	0.053399	0.000000	0.000000	
 39	4718.675924	0.000000	165.886999	0.000000	0.743325	0.039062	0.000000	-0.711883	4.918192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.425528	0.425528	-0.059991	0.059991	0.000000	0.000000	
 40	4714.305187	0.000000	165.886999	0.000000	0.743176	0.039054	0.000000	-0.707460	5.078197	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444233	0.444233	-0.062628	0.062628	0.000000	0.000000	
