AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,SE,SI,SK,UK,EU
0.262531423,0.339203827,0.145691917,0.274234724,0.17056546,0.240413797,0.29834032,0.383674645,0.402926141,0.215655975,0.272228508,0.412785652,0.319476902,0.202936264,0.199782263,0.35269026,0.221841205,0.27840529,0.317065618,0.300418878,0.345517054,0.235031501,0.323455734,0.367376675,0.268068568,0.219105207,0.373096175,0.331345174
0.265768038,0.339560715,0.145016026,0.276099017,0.166231893,0.240869381,0.302315346,0.387842919,0.403539361,0.211393101,0.265200861,0.417872224,0.319462329,0.202964231,0.199872924,0.353438973,0.22205294,0.278587861,0.320742094,0.301053455,0.34989363,0.235076009,0.316757376,0.370808018,0.266277742,0.219126455,0.373281475,0.331910983
0.266603434,0.343273361,0.14414032,0.277715322,0.165847583,0.240067239,0.303559782,0.388520659,0.408250628,0.210350903,0.265471117,0.419193712,0.322361785,0.202127245,0.19904297,0.357211979,0.224041496,0.277795829,0.321528372,0.304497465,0.351112174,0.234149513,0.31567172,0.370906152,0.263711197,0.218112877,0.376456925,0.333236323
0.266074355,0.34389078,0.145621844,0.277390357,0.166187298,0.242012134,0.303068454,0.386778179,0.409279051,0.208973611,0.26733654,0.417791486,0.322359046,0.203832226,0.200588094,0.357762384,0.224010537,0.281140944,0.320312336,0.305192489,0.350276753,0.236251178,0.314531554,0.368789565,0.264029395,0.21958155,0.376240767,0.333462599
0.268895204,0.342689077,0.153366676,0.278311714,0.165036491,0.253792393,0.306151999,0.388428127,0.408092249,0.205730099,0.266793407,0.420203811,0.320765437,0.213888785,0.210190254,0.356679931,0.223013512,0.297242559,0.322068687,0.304373018,0.353292746,0.24818868,0.310573273,0.369748218,0.27274253,0.229586459,0.374394151,0.336057659
0.283475246,0.345320607,0.170592332,0.287224561,0.163470531,0.283254859,0.322478152,0.404033246,0.411560419,0.202614734,0.265378158,0.438516877,0.322622741,0.238385859,0.234036964,0.36017697,0.22474467,0.333839232,0.335887421,0.307317582,0.370908233,0.276928133,0.306582843,0.38320937,0.296969412,0.254994829,0.376988253,0.348358644
0.318402988,0.361806801,0.195966676,0.312488951,0.163830889,0.32977593,0.362315938,0.44738139,0.431963884,0.202190439,0.267542253,0.487876431,0.33665138,0.276452695,0.271367979,0.379055127,0.235496638,0.3895602,0.373162889,0.323344742,0.415153079,0.321435191,0.306781204,0.422103909,0.334486077,0.294969911,0.394321382,0.378238264
0.373087154,0.403424569,0.224875792,0.357806023,0.16960132,0.387080073,0.42529485,0.517857865,0.482844475,0.207287408,0.280551107,0.567966431,0.373148967,0.32257888,0.317014843,0.424310495,0.262030427,0.455099912,0.433477448,0.362169381,0.485565366,0.375104447,0.316438792,0.485533811,0.380932689,0.344223704,0.437786775,0.429144625
0.439493093,0.469299085,0.249521807,0.418218085,0.185006503,0.439055386,0.502584151,0.607973292,0.563317942,0.22148343,0.311704764,0.669758328,0.430945347,0.363867893,0.358082356,0.494715615,0.30337538,0.513109495,0.510000614,0.422959585,0.572846007,0.42305664,0.341527428,0.567280497,0.421524322,0.388623394,0.505698449,0.495262512
0.499591996,0.550719567,0.267031798,0.480543547,0.208581951,0.477859433,0.573049245,0.690937045,0.662513365,0.241573415,0.359356047,0.763662828,0.502789159,0.394415122,0.388649502,0.579832699,0.35369916,0.555026045,0.580392607,0.496945614,0.652610591,0.45840261,0.377807875,0.642386926,0.452484409,0.421870863,0.588770942,0.563753708
0.663919003,0.665095432,0.35466398,0.711905139,0.094397937,0.634014236,0.734510684,0.754880926,0.821337297,0.323947323,0.435381745,0.878107481,0.670743836,0.592347706,0.52324644,0.63773149,0.471908622,0.662786894,0.723008514,0.687055868,0.727053739,0.54058984,0.435207482,0.759857257,0.618724562,0.557669867,0.656074738,0.696115646
0.703623613,0.735825721,0.362633757,0.767145793,0.100942832,0.650567075,0.779681365,0.802713664,0.909365605,0.356123684,0.494664509,0.934463752,0.741148034,0.607371539,0.536672044,0.703558965,0.52031617,0.678831745,0.769017043,0.759760652,0.772082101,0.554122942,0.479338234,0.807799492,0.634187793,0.572093688,0.72237461,0.748608776
0.721735122,0.780288559,0.364711253,0.797334111,0.106434389,0.657218812,0.800147588,0.824573234,0.964623877,0.382307094,0.542601438,0.959993889,0.785566338,0.612998656,0.541937866,0.744234783,0.550384514,0.683797003,0.789923855,0.804973334,0.792535611,0.559077182,0.515051012,0.829838213,0.641069586,0.577986789,0.763651699,0.779171395
0.728424319,0.800683821,0.357731176,0.810251285,0.109607323,0.647763425,0.808081604,0.834871895,0.989863702,0.397795592,0.571858642,0.971643842,0.806090199,0.60351119,0.534056791,0.763033807,0.564349706,0.671093799,0.799434795,0.825673295,0.800910952,0.550322315,0.536091026,0.840594878,0.634772443,0.57013674,0.782974326,0.791191507
0.716487962,0.809034452,0.338664296,0.80606485,0.111704934,0.615800711,0.795426878,0.826277581,1,0.406273192,0.585745297,0.960390043,0.814825733,0.573147175,0.507756087,0.769927854,0.569737171,0.63502675,0.790215431,0.833473277,0.789473789,0.522621351,0.547510614,0.833033495,0.607849746,0.542721726,0.790685104,0.785545397
0.679366687,0.797831901,0.309811087,0.777455511,0.112731843,0.563441753,0.754724378,0.789445369,0.985513294,0.409615949,0.590670991,0.915852148,0.804569072,0.524263645,0.464970691,0.757663333,0.561387801,0.578957815,0.753693384,0.820314182,0.750426007,0.47827647,0.551814428,0.797327113,0.562759039,0.497680543,0.779948378,0.75784196
0.619684077,0.759032065,0.276906202,0.722607928,0.112671652,0.500408274,0.688533643,0.726150338,0.936720001,0.406026635,0.581550038,0.840096197,0.766820151,0.466071614,0.413703373,0.719128114,0.533765032,0.513720347,0.691649824,0.778486939,0.686098526,0.425686881,0.546380159,0.735171956,0.507899813,0.44338842,0.742747912,0.707168243
0.548648898,0.695191389,0.247288863,0.649932255,0.109736466,0.440637464,0.609166393,0.647776546,0.856771608,0.390411005,0.552751906,0.746793291,0.704107782,0.411440047,0.36535815,0.657365164,0.489033264,0.453505072,0.615307865,0.710993473,0.608360578,0.376526758,0.524574821,0.657681603,0.456390652,0.392015758,0.68208503,0.64076697
0.481703471,0.618138286,0.224817923,0.574384123,0.104820856,0.393992455,0.533875213,0.572159765,0.76052399,0.365497769,0.50704534,0.656820941,0.628004733,0.36904209,0.327697154,0.584042062,0.435598019,0.407394571,0.541793843,0.630489562,0.534311725,0.338437165,0.490112258,0.582751682,0.415701279,0.35185272,0.609334599,0.571372816
0.429828412,0.545009172,0.208856592,0.510348174,0.098943111,0.361851584,0.475317962,0.512223315,0.669200324,0.33624937,0.453188758,0.585782594,0.555699041,0.339667249,0.301647717,0.515318994,0.385392065,0.375213892,0.483761011,0.554602407,0.476443814,0.311972927,0.449873585,0.523101351,0.387214897,0.324094819,0.540978265,0.51111657
0.394044261,0.487840742,0.196113064,0.463404956,0.09408372,0.337093426,0.435068698,0.471145496,0.597941196,0.310436889,0.403333855,0.537191742,0.498951963,0.316893178,0.281483706,0.462075162,0.34632808,0.350073023,0.444019626,0.495698399,0.436694508,0.291380048,0.414363649,0.482184319,0.364759639,0.302620158,0.487622566,0.465178699
0.366468062,0.448436673,0.186399367,0.429124552,0.090111862,0.317376655,0.404186605,0.439660152,0.548869915,0.290189301,0.364777663,0.500071245,0.459781234,0.298925816,0.265438157,0.425171079,0.319241523,0.330809397,0.413614412,0.455031979,0.406200613,0.275157115,0.386643381,0.450764585,0.346010275,0.285379526,0.450555615,0.431382506
0.344909954,0.418062187,0.180805482,0.402434155,0.086960711,0.306207389,0.37989081,0.413656234,0.511101488,0.275283874,0.337785242,0.469786707,0.429509977,0.288729338,0.256294628,0.396548677,0.298208056,0.320004286,0.388785768,0.423650604,0.381904671,0.265915002,0.366286627,0.42449761,0.334696442,0.275495827,0.421684363,0.406001646
0.332865436,0.393750049,0.178015573,0.38442155,0.084083731,0.300870183,0.36633361,0.398620562,0.481054496,0.262793822,0.316574165,0.452511124,0.404987109,0.283833182,0.251853912,0.374063912,0.281482859,0.3149745,0.374586922,0.398977403,0.368215802,0.261431069,0.349286745,0.409140235,0.328411061,0.270623611,0.398483219,0.388357757
0.327321976,0.379912214,0.175794036,0.374976351,0.08131464,0.298297902,0.360113712,0.391049916,0.464067856,0.252106422,0.299812811,0.444103392,0.390854447,0.281185429,0.249518631,0.361341476,0.271915015,0.311879542,0.367630901,0.385105818,0.361765952,0.258864706,0.334919701,0.401197097,0.324311531,0.268082031,0.385052248,0.378137489
0.324647945,0.373215423,0.173185035,0.370385505,0.079258222,0.294122975,0.357376379,0.387670969,0.455991817,0.245101004,0.290113324,0.44063681,0.383795009,0.277217079,0.245942814,0.355276166,0.267223575,0.307653275,0.364659203,0.378605483,0.358908332,0.255158311,0.325598901,0.397505643,0.318762656,0.264158551,0.378267624,0.372387446
0.320341903,0.369941236,0.17243999,0.366084852,0.077657865,0.292318033,0.352670868,0.381816692,0.452165194,0.240549794,0.285218673,0.434311288,0.380176479,0.275640729,0.244441945,0.351980313,0.264626642,0.306327508,0.359370588,0.375376355,0.353994172,0.253721253,0.319647823,0.391265455,0.316147804,0.262431905,0.374351042,0.368193803
0.318678003,0.364668376,0.17588471,0.362654201,0.075961813,0.296554184,0.350732791,0.378778587,0.445884524,0.236296016,0.282028235,0.431108412,0.374508228,0.279987159,0.248071128,0.347064435,0.260781888,0.312126571,0.356710378,0.370267181,0.351815821,0.257798546,0.314094964,0.387931574,0.319805079,0.266093892,0.368687016,0.365667642
0.323897747,0.362337307,0.186947371,0.364956888,0.074186177,0.313194637,0.356171808,0.382788035,0.443172671,0.231594407,0.277772758,0.436077011,0.371895661,0.296179376,0.261987486,0.345163212,0.25919765,0.331924852,0.360837637,0.368233637,0.356813058,0.272736134,0.307962345,0.391648263,0.334708364,0.28053296,0.366261165,0.369296734
0.343369973,0.367420646,0.208084197,0.379660752,0.073362714,0.348748984,0.377178782,0.401326999,0.449617897,0.229596448,0.276157698,0.458349857,0.376737462,0.329890011,0.291354405,0.350753884,0.263105411,0.37134354,0.379203849,0.374079168,0.376858579,0.303553259,0.30542404,0.40963795,0.366681016,0.311366956,0.37147611,0.385262305
0.384054291,0.387628841,0.238231316,0.414491206,0.074025272,0.402333427,0.42183121,0.443528881,0.474961836,0.232516292,0.280635819,0.508596919,0.396482634,0.380112534,0.335303765,0.371345753,0.277870349,0.429073839,0.420499432,0.396074251,0.420143815,0.349229674,0.30952411,0.451153735,0.413991486,0.357666392,0.391491085,0.419519423
0.445016623,0.43100688,0.274777562,0.472185747,0.076415555,0.470038516,0.489262445,0.508350979,0.529153182,0.24268178,0.296604685,0.585843171,0.439249074,0.443015692,0.390624587,0.413991926,0.308783129,0.500145631,0.483849816,0.442178405,0.485767463,0.406267953,0.323580983,0.515013701,0.47414277,0.416205359,0.433620935,0.474520699
0.521390668,0.496417747,0.310352327,0.549035638,0.081023795,0.540194182,0.574230561,0.592020182,0.610901698,0.262552038,0.32899779,0.685179584,0.503736455,0.507407273,0.447549822,0.477427052,0.354840396,0.571450274,0.565250114,0.51123772,0.568942842,0.464344361,0.350886522,0.597850432,0.535570253,0.476678365,0.496317058,0.546190541
0.599975045,0.579220031,0.338297914,0.634642372,0.0869829,0.597844869,0.66237005,0.680512525,0.714206695,0.290020584,0.376443536,0.790235271,0.585682701,0.559853663,0.494171443,0.556719132,0.412670718,0.628390661,0.651173408,0.59788987,0.655628559,0.511511315,0.388686928,0.685652281,0.586665958,0.526456529,0.575251672,0.624813535
0.748681265,0.67277683,0.496365676,0.793225919,0.160010334,0.629598513,0.714884507,0.726671237,0.715513696,0.547333448,0.4010211,0.773496962,0.650456151,0.740625493,0.613076292,0.589274047,0.648144134,0.821210594,0.63821301,0.684389526,0.819250578,0.632306716,0.334895677,0.732527098,0.692566492,0.640112658,0.657569845,0.738031252
0.785934646,0.732641941,0.517297138,0.844885333,0.172210714,0.661090347,0.75131098,0.764105658,0.779426392,0.599863956,0.44611234,0.813932492,0.707156981,0.776661404,0.643172623,0.639810153,0.704623928,0.859196201,0.671255752,0.74507242,0.861228815,0.662437987,0.353477858,0.76990904,0.724159767,0.671702771,0.712623373,0.787707996
0.805350122,0.769097777,0.528701953,0.874233806,0.182524091,0.677624295,0.770200766,0.783922145,0.818294681,0.641738494,0.481276296,0.83510895,0.741788231,0.795654294,0.659056266,0.670317219,0.738835919,0.87930734,0.688625481,0.781793261,0.883085035,0.678430138,0.369699036,0.78988381,0.741669544,0.68841697,0.746049737,0.817301852
0.813094822,0.788327835,0.532073412,0.888237491,0.188812324,0.684794711,0.778069821,0.793958306,0.838733076,0.666936436,0.502423009,0.845459315,0.760279045,0.803361988,0.665793513,0.68651652,0.756942865,0.88616316,0.697112361,0.80105552,0.892686444,0.684808128,0.379420875,0.800393733,0.750192664,0.695788098,0.764104825,0.832267634
0.799551621,0.796840109,0.521011502,0.883755668,0.192827105,0.675011669,0.765800136,0.786540596,0.847620011,0.681649413,0.514051635,0.836303429,0.768829272,0.790626252,0.656007274,0.693019917,0.764501987,0.868955844,0.689629682,0.808919679,0.879995184,0.67383529,0.38657124,0.794177661,0.743135952,0.686342144,0.772009823,0.830734654
0.753988947,0.786024674,0.490084941,0.849939105,0.194908929,0.638587803,0.722690688,0.748724357,0.835598857,0.687946461,0.518686816,0.79421584,0.759634154,0.746765613,0.620497003,0.682036536,0.753027723,0.817494162,0.655146157,0.796095132,0.832158697,0.636576239,0.390151905,0.75777884,0.709105468,0.650130208,0.761872423,0.803416701
0.681643767,0.744429635,0.444216648,0.784631126,0.193985773,0.579701577,0.653393499,0.684561766,0.790678041,0.679956899,0.510961293,0.723449423,0.721285181,0.67715714,0.563546466,0.644471971,0.712122447,0.738708519,0.597273526,0.75171987,0.754284365,0.577837048,0.38864006,0.695259961,0.653286177,0.59148724,0.722875264,0.747799908
0.598433182,0.676918013,0.431230552,0.700260264,0.187160385,0.511382474,0.572901895,0.608187139,0.71805385,0.648630461,0.48424167,0.639276971,0.65852232,0.59746032,0.497937143,0.58517447,0.646853293,0.650767424,0.528617734,0.681059802,0.663246672,0.511056545,0.37672481,0.620625857,0.589440141,0.523586399,0.660368706,0.674813305
0.523768715,0.598545431,0.383947521,0.61632968,0.176363417,0.450112257,0.500247227,0.539379063,0.633848585,0.600256745,0.442701361,0.563023973,0.585650282,0.526461046,0.439398151,0.517711326,0.571990046,0.573295122,0.466602457,0.599838156,0.581039604,0.451920218,0.359258476,0.553674951,0.53419022,0.462968498,0.589060028,0.598974308
