,PHOT,WTOF,WTON,BEVS,HROR
1/5/2016 1:00,0,0,0.289227,0.692196182,0.114635997
1/5/2016 2:00,0,0,0.27775,0.671179612,0.114674711
1/5/2016 3:00,0,0,0.259811,0.630556005,0.114713424
1/5/2016 4:00,0,0,0.243814,0.57695789,0.114752137
1/5/2016 5:00,0,0,0.223206,0.512048009,0.114790851
1/5/2016 6:00,0,0,0.212529,0.451377167,0.114829564
1/5/2016 7:00,0,0,0.217239,0.422454174,0.114868277
1/5/2016 8:00,0.001,0,0.225315,0.45477715,0.11490699
1/5/2016 9:00,0.01,0,0.224242,0.502953215,0.114945704
1/5/2016 10:00,0.027,0,0.232462,0.510131186,0.114984417
1/5/2016 11:00,0.038,0,0.233165,0.490895927,0.11502313
1/5/2016 12:00,0.035,0,0.227336,0.45297994,0.115061844
1/5/2016 13:00,0.028,0,0.22666,0.44897534,0.115100557
1/5/2016 14:00,0.009,0,0.215872,0.425151577,0.11513927
1/5/2016 15:00,0,0,0.204373,0.408462038,0.115177984
1/5/2016 16:00,0,0,0.168306,0.474642617,0.115216697
1/5/2016 17:00,0,0,0.171921,0.632053394,0.11525541
1/5/2016 18:00,0,0,0.204794,0.738981628,0.115294123
1/5/2016 19:00,0,0,0.235469,0.77950155,0.115332837
1/5/2016 20:00,0,0,0.223235,0.782679314,0.11537155
1/5/2016 21:00,0,0,0.27347,0.825741262,0.115410263
1/5/2016 22:00,0,0,0.258715,0.888243307,0.115448977
1/5/2016 23:00,0,0,0.212392,0.874139818,0.11548769
1/6/2016 0:00,0,0,0.197438,0.852412711,0.115526403
1/6/2016 1:00,0,0,0.174014,0.834316977,0.115575899
1/6/2016 2:00,0,0,0.14974,0.801309387,0.115625395
1/6/2016 3:00,0,0,0.124249,0.745717715,0.115674891
1/6/2016 4:00,0,0,0.103687,0.653996582,0.115724387
1/6/2016 5:00,0,0,0.098865,0.556492776,0.115773883
1/6/2016 6:00,0,0,0.098639,0.47674541,0.115823379
1/6/2016 7:00,0,0,0.096849,0.48273198,0.115872876
