,[10] - BE_BATT_LI,[8] - BE_DEC_HP_ELEC,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[5] - BE_IND_COGEN_GAS,[9] - BE_PHS
2015-01-01 00:00:00,0.0,10033.879144815432,7283.814132547295,283.85471234879475,7172.905827651206,0.0
2015-01-01 01:00:00,0.0,9511.972585592368,8637.024149102695,283.85471234879475,7172.905827651206,0.0
2015-01-01 02:00:00,0.0,9825.116522311166,4600.9997254954205,262.2536284452008,7172.905827651206,0.0
2015-01-01 03:00:00,0.0,9929.497830600909,6509.989885864346,0.0,7172.905827651206,0.0
2015-01-01 04:00:00,0.0,10033.879144815432,7113.846482352585,16.295147210239975,7172.905827651206,0.0
2015-01-01 05:00:00,0.0,10138.260453105173,6761.044055781656,0.0,7172.905827651206,0.0
2015-01-01 06:00:00,0.0,10242.641761394916,7045.139018605084,135.8650443211718,7172.905827651206,0.0
2015-01-01 07:00:00,0.0,10347.023075609442,7116.935034390555,283.85471234879475,7172.905827651206,0.0
2015-01-01 08:00:00,0.0,10347.023075609442,7116.935034390555,283.85471234879475,7172.905827651206,0.0
2015-01-01 09:00:00,0.0,10138.260453105173,11057.068259395244,283.85471234879475,7172.905827651206,0.0
2015-01-01 10:00:00,0.0,13417.525556506946,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 11:00:00,0.0,29267.548,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 12:00:00,0.0,29267.548,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 13:00:00,0.0,29267.548,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 14:00:00,0.0,23130.12148559486,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 15:00:00,0.0,5838.485970458339,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 16:00:00,0.0,0.0,22459.61617771507,283.85471234879475,7172.905827651206,0.0
2015-01-01 17:00:00,0.0,0.0,28951.906285404002,283.85471234879475,7172.905827651206,0.0
2015-01-01 18:00:00,0.0,0.0,28068.25036233507,283.85471234879475,7172.905827651206,0.0
2015-01-01 19:00:00,0.0,1088.819890500346,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 20:00:00,0.0,1294.139011652464,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 21:00:00,0.0,2657.2092402753333,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 22:00:00,0.0,3470.420133104607,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-01 23:00:00,0.0,3936.101029413382,28908.645875841154,283.85471234879475,7172.905827651206,0.0
2015-01-02 00:00:00,0.0,11808.361427214537,18276.838405812654,283.85471234879475,7172.905827651206,0.0
2015-01-02 01:00:00,0.0,12330.267980512812,18053.86806527539,283.85471234879475,7172.905827651206,0.0
2015-01-02 02:00:00,0.0,12852.174539735877,17585.298375319195,283.85471234879475,7172.905827651206,0.0
2015-01-02 03:00:00,0.0,13060.937156315358,16815.164468575444,283.85471234879475,7172.905827651206,0.0
2015-01-02 04:00:00,0.0,13374.081093034156,23304.42065417323,283.85471234879475,7172.905827651206,0.0
2015-01-02 05:00:00,0.0,13687.225023828165,27298.393713258585,283.85471234879475,7172.905827651206,0.0
2015-01-02 06:00:00,0.0,13895.987646332434,25878.81544725589,283.85471234879475,7172.905827651206,0.0
2015-01-02 07:00:00,0.0,14104.750268836704,24068.224333733204,283.85471234879475,7172.905827651206,0.0
2015-01-02 08:00:00,0.0,14104.750268836704,26492.817671922137,283.85471234879475,7172.905827651206,0.0
2015-01-02 09:00:00,0.0,13582.843715538424,23146.61396847941,283.85471234879475,7172.905827651206,0.0
2015-01-02 10:00:00,0.0,13478.462401323897,21490.97049011021,283.85471234879475,7172.905827651206,0.0
2015-01-02 11:00:00,0.0,13060.937156315358,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-02 12:00:00,0.0,12330.267980512812,29094.192000000003,283.85471234879475,7172.905827651206,0.0
2015-01-02 13:00:00,0.0,25631.32828026932,29094.192000000003,283.85471234879475,7172.905827651206,0.0
