TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[GW or GWh]	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
DEC_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.074944	0.000000	%f\t
TRAMWAY_TROLLEY	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.100000	0.300000	1.000000	1.015000	0.000000	%f\t
BUS_COACH_DIESEL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	%f\t
BUS_COACH_HYDIESEL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.300000	0.300000	1.000000	1.015000	0.000000	%f\t
BUS_COACH_CNG_STOICH	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.300000	1.000000	1.015000	0.000000	%f\t
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.200000	1.000000	1.015000	0.000000	%f\t
TRAIN_PUB	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.600000	0.600000	1.000000	1.015000	0.000000	%f\t
CAR_GASOLINE	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
CAR_DIESEL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
CAR_NG	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
CAR_HEV	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.228721	1.000000	1.000000	1.015000	0.000000	%f\t
CAR_PHEV	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
CAR_BEV	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
CAR_CapitalfUEL_CELL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.771279	1.000000	1.000000	1.015000	0.000000	%f\t
TRAIN_CapitalfREIGHT	0.000000	0.000000	1.000000	0.920000	10.000000	10.000000	0.000000	1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
BOAT_CapitalfREIGHT_DIESEL	0.000000	0.000000	1.000000	0.920000	10.000000	10.000000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
BOAT_CapitalfREIGHT_NG	0.000000	0.000000	1.000000	0.920000	10.000000	10.000000	0.000000	1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
TRUCK_DIESEL	0.000000	0.000000	1.000000	0.920000	10.000000	10.000000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
TRUCK_CapitalfUEL_CELL	0.000000	0.000000	1.000000	0.000000	10.000000	10.000000	0.000000	0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
TRUCK_NG	0.000000	0.000000	1.000000	0.000000	10.000000	10.000000	0.000000	1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
NON_ENERGY_OIL	0.000000	0.000000	1.000000	0.000000	100000.000000	100000.000000	0.000000	-0.000000	1.000000	1.000000	1.015000	0.000000	%f\t
NON_ENERGY_NG	0.000000	0.000000	1.000000	0.000000	100000.000000	100000.000000	0.000000	1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
PHS	294.000000	0.000000	50.000000	5.000000	5.000000	6.500000	0.000000	-1.000000	1.000000	1.000000	0.028572	41.650000	%f\t
BATT_LI	16170.586836	33.197894	15.000000	0.000000	53.544990	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.074944	3282.307858	%f\t
BEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
PHEV_BATT	0.000000	0.000000	1.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
TS_DEC_HP_ELEC	1494.158628	10.459110	25.000000	0.000000	78.756762	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_DIRECT_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DHN_DAILY	0.000000	0.000000	40.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
TS_DHN_SEASONAL	11939.053601	66.328076	25.000000	0.000000	22109.358521	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_THHP_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_COGEN_OIL	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_ADVCOGEN_H2	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
