,AT,BE,BG,CZ,DK,DE,EE,IE,ES,FR,HR,IT,LV,LT,LU,HU,NL,PL,PT,RO,SI,SK,FI,SE,NO,CH,UK,EL
01/01/2016 00:00,-2.409,4.527,-9.218,-3.91,3.916,1.715,-8.206,1.749,6.585,4.899,-2.542,2.794,-10.291,-13.063,2.702,-6.628,5.081,-8.698,8.241,-9.633,-3.978,-9.989,-6.328,-3.506,-2.575,-0.272,2.628,-1.991
01/01/2016 01:00,-2.319,4.402,-9.485,-3.72,3.897,1.651,-8.133,1.882,6.48,4.772,-2.428,2.756,-10.25,-12.971,2.517,-6.842,5.148,-8.746,8.049,-9.861,-3.873,-9.924,-6.578,-3.397,-2.523,-0.453,2.397,-1.981
01/01/2016 02:00,-2.242,4.258,-9.77,-3.544,3.786,1.59,-8.116,2.092,6.405,4.682,-2.358,2.705,-10.227,-12.831,2.342,-7.032,5.242,-8.753,7.877,-10.072,-3.666,-9.777,-6.875,-3.321,-2.488,-0.641,2.267,-1.994
01/01/2016 03:00,-2.237,4.224,-10.048,-3.377,3.624,1.564,-8.124,2.328,6.364,4.563,-2.358,2.641,-10.229,-12.704,2.37,-7.225,5.141,-8.811,7.799,-10.238,-3.572,-9.686,-7.229,-3.273,-2.446,-0.778,2.152,-2.027
01/01/2016 04:00,-2.325,4.251,-10.292,-3.248,3.502,1.521,-8.188,2.578,6.38,4.454,-2.361,2.53,-10.241,-12.541,2.463,-7.42,5.066,-8.856,7.862,-10.411,-3.581,-9.656,-7.59,-3.246,-2.402,-0.855,2.096,-2.082
01/01/2016 05:00,-2.332,4.207,-10.49,-3.135,3.496,1.49,-8.263,2.886,6.405,4.351,-2.327,2.43,-10.208,-12.31,2.482,-7.601,5.024,-8.895,7.999,-10.572,-3.711,-9.682,-7.88,-3.224,-2.344,-0.939,2.161,-2.096
01/01/2016 06:00,-2.313,4.042,-9.487,-3.071,3.595,1.443,-8.372,3.247,6.445,4.245,-2.249,2.391,-10.118,-12.04,2.464,-7.698,4.956,-8.904,8.325,-10.149,-3.804,-9.733,-8.171,-3.193,-2.3,-1.094,2.293,-1.197
01/01/2016 07:00,-1.982,3.821,-7.065,-2.844,3.748,1.47,-8.415,3.605,6.546,4.208,-1.533,3.1,-9.888,-11.466,2.515,-6.79,4.827,-8.401,8.767,-8.313,-3.063,-8.759,-8.442,-3.137,-2.307,-1.191,2.422,0.399
01/01/2016 08:00,-0.98,3.971,-4.517,-2.245,3.889,1.997,-8.187,4.067,7.391,4.769,-0.354,4.574,-9.252,-9.992,2.759,-5.39,4.864,-7.353,9.56,-6.29,-1.789,-7.066,-8.62,-3.056,-2.376,-0.243,2.581,1.775
01/01/2016 09:00,0.072,4.53,-2.56,-1.518,4.117,2.601,-8.016,4.577,8.624,5.57,0.851,6.011,-8.659,-8.831,3.182,-3.63,5.469,-6.247,10.81,-4.856,-0.326,-5.469,-8.679,-2.878,-2.398,0.98,3.064,2.973
01/01/2016 10:00,1.142,5.183,-1.404,-0.698,4.447,3.156,-7.99,5.19,10.143,6.545,1.817,7.297,-8.332,-8.369,3.779,-2.597,6.067,-5.297,12.255,-4.049,1.26,-4.153,-8.781,-2.676,-2.334,2.167,3.671,3.867
01/01/2016 11:00,2.008,5.849,-0.764,0.02,4.744,3.642,-8.086,5.813,11.552,7.538,2.404,8.129,-8.228,-8.24,4.326,-2.022,6.593,-4.699,13.638,-3.663,2.545,-3.357,-9.006,-2.536,-2.344,3.252,4.155,4.427
01/01/2016 12:00,2.338,6.36,-0.708,0.454,4.849,3.943,-8.388,6.343,12.551,8.312,2.592,8.445,-8.424,-8.43,4.801,-1.795,6.79,-4.54,14.655,-3.739,3.134,-3.125,-9.377,-2.483,-2.461,3.789,4.546,4.617
01/01/2016 13:00,1.914,6.533,-1.35,0.266,4.575,3.892,-8.877,6.849,13.076,8.689,2.387,8.282,-8.866,-9.048,5.063,-1.942,6.672,-4.864,15.097,-4.377,2.902,-3.446,-9.731,-2.525,-2.661,3.629,4.764,4.333
01/01/2016 14:00,0.295,6.277,-3.524,-1.014,4.021,3.181,-9.325,7.308,13.121,8.488,1.522,7.433,-9.214,-9.718,4.89,-2.796,6.23,-5.79,14.911,-5.929,1.208,-4.603,-10.023,-2.604,-2.872,2.459,4.736,2.953
01/01/2016 15:00,-1.193,5.687,-5.013,-1.919,3.981,2.34,-9.835,7.687,12.623,7.613,0.486,5.861,-9.418,-10.045,4.052,-3.52,5.63,-6.389,14.176,-7.02,-0.258,-5.453,-10.332,-2.632,-3.063,0.572,4.646,1.586
01/01/2016 16:00,-1.636,5.371,-5.634,-2.076,4.255,2.101,-10.354,7.99,11.386,6.83,-0.04,5.079,-9.596,-10.211,3.833,-3.829,5.455,-6.813,13,-7.523,-0.637,-5.938,-10.683,-2.65,-3.28,-0.464,4.71,1.359
01/01/2016 17:00,-1.93,5.072,-6.239,-2.181,4.05,1.837,-10.842,8.159,10.432,6.633,-0.425,4.674,-9.787,-10.317,3.71,-4.095,5.225,-7.251,11.7,-7.955,-1.015,-6.376,-11.061,-2.692,-3.498,-0.945,4.877,1.275
01/01/2016 18:00,-2.267,4.804,-6.75,-2.263,3.225,1.542,-11.299,8.165,10.028,6.571,-0.733,4.336,-9.983,-10.394,3.515,-4.351,4.98,-7.676,10.888,-8.348,-1.495,-6.804,-11.431,-2.77,-3.669,-1.243,5.071,1.236
01/01/2016 19:00,-2.669,4.568,-7.135,-2.402,2.73,1.263,-11.721,8.071,9.655,6.552,-0.982,4.026,-10.165,-10.513,3.344,-4.634,4.796,-8.044,10.373,-8.74,-1.916,-7.232,-11.76,-2.887,-3.838,-1.473,5.281,1.248
01/01/2016 20:00,-3.074,4.368,-7.38,-2.644,2.858,1.032,-12.124,7.993,9.261,6.584,-1.14,3.704,-10.355,-10.613,3.177,-4.952,4.65,-8.352,9.981,-9.139,-2.168,-7.653,-12.072,-3.026,-3.971,-1.688,5.513,1.298
01/01/2016 21:00,-3.327,4.281,-7.567,-2.878,3.109,0.793,-12.456,7.94,8.882,6.653,-1.117,3.461,-10.552,-10.84,3.073,-5.266,4.52,-8.592,9.634,-9.475,-2.263,-8.124,-12.363,-3.215,-4.061,-1.807,5.691,1.363
01/01/2016 22:00,-3.52,4.229,-7.744,-3.108,3.205,0.59,-12.715,7.891,8.516,6.733,-0.996,3.291,-10.856,-11.237,2.893,-5.611,4.492,-8.8,9.167,-9.755,-2.353,-8.617,-12.628,-3.459,-4.087,-1.926,5.825,1.374
01/01/2016 23:00,-3.647,4.17,-8.018,-3.318,3.156,0.423,-12.91,7.874,8.117,6.793,-0.968,3.169,-11.233,-11.616,2.57,-5.994,4.397,-8.995,8.784,-10.016,-2.507,-9.039,-12.888,-3.719,-4.062,-2.09,5.961,1.39
02/01/2016 00:00,-3.821,4.089,-8.377,-3.429,3.067,0.26,-13.075,7.859,7.72,6.855,-1.048,3.087,-11.76,-12.005,2.271,-6.379,4.213,-9.184,8.485,-10.249,-2.725,-9.352,-13.115,-3.975,-3.948,-2.304,6.087,1.416
02/01/2016 01:00,-3.993,4.06,-8.805,-3.503,2.908,0.085,-13.242,7.847,7.34,6.885,-1.159,3.057,-12.356,-12.447,2.264,-6.746,4.076,-9.357,8.488,-10.444,-3.032,-9.567,-13.294,-4.239,-3.812,-2.491,6.224,1.438
02/01/2016 02:00,-4.093,4.086,-9.201,-3.605,2.677,-0.14,-13.414,7.819,6.966,6.832,-1.265,3.052,-12.921,-12.906,2.541,-7.082,3.969,-9.513,8.671,-10.681,-3.318,-9.696,-13.458,-4.545,-3.723,-2.634,6.381,1.434
02/01/2016 03:00,-4.197,4.088,-9.516,-3.771,2.378,-0.382,-13.579,7.716,6.658,6.749,-1.44,3.084,-13.383,-13.268,2.833,-7.417,3.914,-9.709,8.668,-10.91,-3.549,-9.928,-13.547,-4.827,-3.67,-2.617,6.529,1.385
02/01/2016 04:00,-4.305,4.172,-9.785,-3.969,2.009,-0.569,-13.756,7.574,6.33,6.659,-1.672,3.13,-13.714,-13.524,2.944,-7.736,3.882,-9.939,8.543,-11.105,-3.825,-10.161,-13.604,-5.087,-3.677,-2.464,6.656,1.297
02/01/2016 05:00,-4.372,4.295,-10.046,-4.089,1.545,-0.702,-13.938,7.489,5.984,6.555,-1.834,3.163,-13.923,-13.805,2.956,-7.992,3.841,-10.169,8.318,-11.278,-3.986,-10.321,-13.706,-5.374,-3.789,-2.296,6.749,1.147
02/01/2016 06:00,-4.418,4.546,-9.322,-4.195,1.038,-0.823,-14.112,7.346,5.622,6.468,-1.913,3.232,-14.104,-14.158,2.913,-8.138,3.806,-10.386,8.036,-11.094,-4.152,-10.45,-13.825,-5.677,-3.981,-2.189,6.843,1.777
02/01/2016 07:00,-3.967,4.853,-7.437,-4.02,0.493,-0.863,-14.204,7.207,5.376,6.373,-0.848,4.067,-14.102,-14.219,2.904,-7.082,3.79,-10.316,7.8,-9.859,-3.694,-9.656,-13.962,-5.955,-4.238,-2.057,6.929,3.54
02/01/2016 08:00,-2.759,5.114,-5.457,-3.343,0.039,-0.538,-13.958,7.073,5.913,6.709,0.584,5.269,-13.718,-13.26,3.042,-5.66,3.865,-9.698,8.475,-8.564,-2.528,-8.24,-13.987,-6.159,-4.548,-1.386,7.02,5.12
02/01/2016 09:00,-1.607,5.526,-3.952,-2.629,-0.24,-0.124,-13.57,7.093,6.99,7.296,1.87,6.184,-13.162,-12.179,3.325,-3.927,3.998,-8.931,10.097,-7.493,-1.192,-6.824,-13.799,-6.187,-4.866,-0.611,7.211,6.414
02/01/2016 10:00,-0.741,6.289,-2.908,-2.067,-0.499,0.277,-13.194,7.259,8.369,8.019,2.793,6.859,-12.613,-11.501,3.807,-2.751,4.176,-8.261,11.428,-6.767,0.051,-5.693,-13.657,-6.243,-5.14,0.086,7.499,7.257
02/01/2016 11:00,-0.268,7.254,-2.325,-1.754,-0.733,0.599,-12.988,7.385,9.632,8.6,3.083,7.263,-12.35,-11.199,4.569,-2.155,4.439,-7.837,12.368,-6.378,0.632,-4.986,-13.718,-6.376,-5.407,0.567,7.787,7.724
02/01/2016 12:00,-0.236,8.028,-2.231,-1.779,-1.013,0.699,-13.15,7.393,10.515,8.83,2.869,7.449,-12.583,-11.54,5.309,-2.063,4.692,-7.748,12.941,-6.364,0.536,-4.766,-13.999,-6.643,-5.742,0.773,7.986,7.78
02/01/2016 13:00,-0.723,8.292,-2.674,-2.18,-1.378,0.478,-13.796,7.281,10.912,8.732,2.347,7.42,-13.449,-12.654,5.746,-2.428,4.843,-8.072,13.1,-6.812,0.032,-5.122,-14.209,-7.048,-6.185,0.707,8.054,7.282
02/01/2016 14:00,-1.662,7.994,-4.092,-2.95,-1.784,-0.098,-14.132,7.009,10.809,8.312,1.737,7.029,-14.145,-13.708,5.889,-3.509,4.701,-8.841,12.935,-7.884,-0.636,-6.284,-14.237,-7.463,-6.67,0.282,7.943,5.684
02/01/2016 15:00,-2.58,7.276,-5.494,-3.735,-2.06,-0.745,-14.244,6.458,10.085,7.419,1.26,6.173,-14.506,-14.274,5.524,-4.534,4.24,-9.541,12.489,-8.751,-1.196,-7.373,-14.198,-7.807,-7.083,-0.42,7.645,4.246
02/01/2016 16:00,-2.982,6.912,-6.235,-4.262,-2.196,-1.111,-14.228,5.612,7.989,6.427,1.007,5.862,-14.784,-14.614,5.247,-5.03,3.889,-10.066,11.403,-9.36,-1.557,-7.996,-14.173,-8.136,-7.437,-0.665,7.428,3.715
02/01/2016 17:00,-3.269,6.687,-6.915,-4.742,-2.272,-1.386,-14.128,5.072,6.366,5.962,0.765,5.907,-14.902,-14.857,5.192,-5.471,3.583,-10.531,10.438,-9.86,-1.903,-8.597,-14.205,-8.405,-7.758,-0.772,7.323,3.305
02/01/2016 18:00,-3.543,6.525,-7.442,-5.166,-2.343,-1.617,-13.985,4.655,5.873,5.597,0.499,5.957,-14.961,-15.036,5.002,-5.857,3.295,-10.933,10.15,-10.274,-2.293,-9.153,-14.196,-8.634,-8.027,-0.981,7.203,3.006
02/01/2016 19:00,-3.824,6.588,-7.747,-5.495,-2.447,-1.795,-13.856,4.311,5.48,5.271,0.213,5.976,-14.939,-15.136,4.807,-6.193,3.216,-11.285,9.865,-10.616,-2.737,-9.634,-14.158,-8.792,-8.274,-1.227,7.118,2.843
02/01/2016 20:00,-4.134,6.652,-7.927,-5.777,-2.608,-1.925,-13.72,4.064,5.155,4.991,-0.085,5.937,-14.873,-15.131,4.769,-6.465,3.23,-11.586,9.593,-10.921,-3.221,-10.026,-14.063,-8.96,-8.523,-1.377,7.026,2.778
02/01/2016 21:00,-4.4,6.624,-8.042,-6.004,-2.741,-2.013,-13.426,4.041,4.957,4.796,-0.271,5.915,-14.732,-14.987,4.692,-6.659,3.269,-11.862,9.394,-11.2,-3.596,-10.306,-13.922,-9.126,-8.809,-1.442,6.938,2.828
02/01/2016 22:00,-4.662,6.521,-8.063,-6.202,-2.842,-2.092,-13.087,4.074,4.903,4.664,-0.388,5.893,-14.571,-14.782,4.558,-6.834,3.378,-12.113,9.017,-11.458,-3.9,-10.541,-13.796,-9.307,-9.07,-1.567,6.837,2.937
02/01/2016 23:00,-4.901,6.422,-8.081,-6.426,-2.909,-2.154,-12.652,4.267,4.893,4.501,-0.54,5.821,-14.432,-14.616,4.44,-7.041,3.56,-12.354,8.939,-11.705,-4.224,-10.778,-13.748,-9.536,-9.27,-1.768,6.692,3.07
03/01/2016 00:00,-5.064,6.386,-8.116,-6.664,-2.963,-2.205,-12.11,4.538,4.876,4.342,-0.724,5.729,-14.274,-14.555,4.43,-7.243,3.767,-12.585,8.935,-11.925,-4.57,-10.991,-13.691,-9.792,-9.445,-1.948,6.532,3.199
03/01/2016 01:00,-5.212,6.294,-8.181,-6.933,-2.974,-2.264,-11.467,4.878,4.882,4.193,-0.932,5.582,-14.057,-14.597,4.279,-7.431,3.969,-12.801,8.955,-12.136,-4.921,-11.21,-13.541,-10.034,-9.618,-2.164,6.358,3.354
03/01/2016 02:00,-5.344,6.097,-8.232,-7.266,-2.935,-2.342,-10.758,5.273,4.939,4.074,-1.146,5.374,-13.763,-14.709,4.116,-7.623,4.245,-13.017,9.081,-12.324,-5.254,-11.427,-13.292,-10.221,-9.789,-2.343,6.149,3.467
03/01/2016 03:00,-5.486,5.815,-8.371,-7.667,-2.931,-2.452,-10.027,5.656,4.933,4.012,-1.458,5.168,-13.376,-14.806,4.067,-7.909,4.38,-13.221,9.215,-12.526,-5.566,-11.767,-13.048,-10.449,-9.983,-2.514,5.978,3.599
03/01/2016 04:00,-5.636,5.451,-8.552,-8.071,-2.98,-2.596,-9.323,6.066,4.9,3.988,-1.828,4.968,-12.979,-14.845,3.944,-8.251,4.409,-13.397,9.489,-12.738,-5.869,-12.144,-12.823,-10.706,-10.156,-2.737,5.858,3.809
03/01/2016 05:00,-5.741,4.922,-8.689,-8.469,-3.09,-2.749,-8.738,6.382,4.941,3.992,-2.176,4.781,-12.568,-14.813,3.7,-8.597,4.387,-13.548,9.76,-12.951,-6.125,-12.567,-12.635,-10.99,-10.296,-2.894,5.761,4.076
03/01/2016 06:00,-5.89,4.403,-8.576,-8.795,-3.163,-2.903,-8.26,6.635,5.052,4.001,-2.495,4.596,-12.064,-14.667,3.466,-8.916,4.345,-13.666,10.046,-12.887,-6.321,-12.914,-12.458,-11.262,-10.444,-3.087,5.715,4.594
03/01/2016 07:00,-5.805,3.913,-8.005,-8.782,-3.193,-2.981,-7.875,6.732,5.26,4.086,-2.743,4.987,-11.429,-14.178,3.29,-8.558,4.242,-13.404,10.311,-12.039,-6.367,-12.222,-12.275,-11.489,-10.581,-3.109,5.712,5.407
03/01/2016 08:00,-5.101,3.708,-7.224,-8.024,-3.13,-2.593,-7.545,6.675,6.225,4.686,-2.848,6.102,-10.594,-13.172,3.072,-7.52,4.178,-12.505,10.806,-10.943,-6.15,-10.707,-12.089,-11.621,-10.72,-1.908,5.767,6.114
03/01/2016 09:00,-4.318,3.848,-6.515,-7.093,-2.934,-1.992,-7.276,6.767,7.374,5.379,-2.936,7.042,-9.883,-12.271,2.88,-6.274,4.354,-11.476,11.698,-10.002,-5.827,-9.003,-11.797,-11.466,-10.718,-0.655,5.895,6.751
03/01/2016 10:00,-3.657,4.208,-6.061,-6.219,-2.729,-1.349,-7.075,7.158,8.591,6.049,-3.071,7.739,-9.396,-11.824,2.843,-5.201,4.744,-10.544,12.709,-9.358,-5.462,-7.521,-11.457,-11.24,-10.511,0.249,6.082,7.293
03/01/2016 11:00,-3.183,4.633,-5.827,-5.59,-2.577,-0.827,-7.045,7.499,9.636,6.613,-3.237,8.105,-9.066,-11.595,2.913,-4.506,5.196,-9.878,13.587,-9.026,-5.172,-6.555,-11.28,-11.259,-10.341,1.001,6.253,7.705
03/01/2016 12:00,-2.934,4.854,-5.809,-5.302,-2.542,-0.546,-7.317,7.787,10.449,6.89,-3.447,8.102,-8.909,-11.537,3.038,-4.226,5.459,-9.614,14.205,-9.038,-5.018,-6.16,-11.297,-11.456,-10.299,1.397,6.367,7.902
03/01/2016 13:00,-3.002,4.894,-5.953,-5.455,-2.643,-0.597,-7.815,7.953,10.996,6.882,-3.777,7.783,-8.892,-11.864,3.045,-4.378,5.44,-9.868,14.622,-9.453,-5.086,-6.479,-11.387,-11.825,-10.468,1.268,6.4,7.848
03/01/2016 14:00,-3.634,4.8,-6.208,-6.214,-2.883,-1.163,-8.11,7.91,11.158,6.582,-4.282,6.94,-8.915,-12.352,2.949,-5.185,5.165,-10.801,14.773,-10.341,-5.521,-8.123,-11.506,-12.195,-10.712,0.293,6.311,7.689
03/01/2016 15:00,-4.935,4.677,-6.396,-7.192,-3.065,-2.062,-8.433,7.588,10.919,6.144,-4.884,5.096,-8.869,-12.486,2.833,-6.161,4.878,-11.619,14.732,-10.898,-6.448,-9.744,-11.765,-12.43,-10.836,-1.22,6.064,7.564
03/01/2016 16:00,-5.839,4.562,-6.434,-7.743,-3.158,-2.546,-8.739,7.248,10.343,5.859,-5.373,4.095,-8.793,-12.346,2.864,-6.712,4.699,-12.117,14.347,-11.133,-7.105,-10.502,-12.249,-12.611,-10.96,-2.176,5.847,7.516
03/01/2016 17:00,-6.437,4.42,-6.437,-8.226,-3.263,-2.879,-9.12,7.16,9.957,5.796,-5.863,3.722,-8.769,-12.11,2.958,-7.235,4.415,-12.551,13.841,-11.337,-7.501,-11.163,-12.824,-12.705,-11.095,-2.435,5.871,7.374
03/01/2016 18:00,-6.765,4.19,-6.434,-8.589,-3.393,-3.17,-9.578,7.13,9.946,5.757,-6.405,3.465,-8.797,-11.842,2.993,-7.763,4.149,-12.924,13.672,-11.545,-7.885,-11.673,-13.443,-12.736,-11.237,-2.434,5.945,7.139
03/01/2016 19:00,-6.974,3.884,-6.444,-8.846,-3.516,-3.44,-9.997,7.138,10.006,5.697,-6.877,3.339,-8.867,-11.643,2.914,-8.241,3.861,-13.237,13.592,-11.74,-8.177,-12.089,-14.01,-12.669,-11.386,-2.449,5.994,6.867
03/01/2016 20:00,-7.029,3.484,-6.461,-9.044,-3.612,-3.675,-10.413,7.163,10.048,5.622,-7.218,3.289,-8.965,-11.532,2.683,-8.664,3.565,-13.501,13.501,-11.867,-8.356,-12.413,-14.504,-12.493,-11.532,-2.495,6.02,6.629
03/01/2016 21:00,-6.969,3.018,-6.519,-9.14,-3.654,-3.856,-10.779,7.174,10.096,5.594,-7.421,3.3,-9.054,-11.494,2.18,-9.081,3.286,-13.709,13.438,-11.936,-8.461,-12.544,-14.948,-12.308,-11.716,-2.545,5.99,6.503
03/01/2016 22:00,-6.897,2.735,-6.607,-9.144,-3.658,-4.007,-11.138,7.109,10.162,5.623,-7.593,3.307,-9.181,-11.519,1.404,-9.382,3.044,-13.881,13.399,-11.964,-8.481,-12.465,-15.32,-12.24,-11.922,-2.612,5.934,6.4
03/01/2016 23:00,-6.848,2.654,-6.743,-9.065,-3.657,-4.134,-11.427,6.974,10.145,5.681,-7.775,3.311,-9.367,-11.596,0.877,-9.653,2.837,-14.006,13.35,-11.929,-8.487,-12.274,-15.645,-12.256,-12.122,-2.656,5.859,6.329
04/01/2016 00:00,-6.797,2.962,-6.919,-8.935,-3.639,-4.227,-11.692,6.795,10.052,5.72,-7.843,3.336,-9.563,-11.723,0.869,-9.822,2.657,-14.088,13.291,-11.865,-8.47,-12.065,-15.914,-12.349,-12.345,-2.719,5.804,6.284
04/01/2016 01:00,-6.75,3.437,-7.13,-8.817,-3.593,-4.28,-11.906,6.636,9.928,5.721,-7.705,3.412,-9.756,-11.888,1.184,-9.928,2.486,-14.183,13.202,-11.797,-8.499,-11.969,-16.13,-12.499,-12.604,-2.6,5.754,6.153
04/01/2016 02:00,-6.658,3.977,-7.362,-8.743,-3.541,-4.275,-12.041,6.545,9.776,5.68,-7.422,3.538,-9.933,-12.035,1.946,-9.947,2.292,-14.239,13.134,-11.73,-8.578,-11.97,-16.305,-12.682,-12.919,-2.676,5.71,6.021
04/01/2016 03:00,-6.625,4.448,-7.478,-8.661,-3.523,-4.226,-12.249,6.445,9.644,5.576,-7.228,3.686,-10.164,-12.253,2.858,-9.963,2.142,-14.291,13.104,-11.657,-8.707,-12.05,-16.456,-12.845,-13.219,-2.759,5.669,5.845
04/01/2016 04:00,-6.623,4.821,-7.535,-8.527,-3.534,-4.141,-12.488,6.369,9.555,5.468,-7.07,3.852,-10.431,-12.555,3.576,-9.989,2.054,-14.34,13.11,-11.556,-8.749,-12.078,-16.633,-12.987,-13.489,-2.761,5.649,5.621
04/01/2016 05:00,-6.654,5.021,-7.585,-8.374,-3.53,-4.019,-12.686,6.343,9.505,5.376,-6.764,4,-10.7,-12.876,3.928,-9.939,2.008,-14.358,13.058,-11.45,-8.752,-11.908,-16.794,-13.094,-13.773,-2.907,5.614,5.393
04/01/2016 06:00,-6.761,4.965,-7.184,-8.24,-3.522,-3.92,-12.858,6.329,9.479,5.283,-6.434,4.143,-10.96,-13.145,3.968,-9.791,2.033,-14.334,12.994,-11.054,-8.794,-11.622,-16.878,-13.2,-14.039,-2.845,5.586,5.92
04/01/2016 07:00,-6.616,4.772,-5.577,-8.042,-3.534,-3.773,-12.916,6.296,9.448,5.218,-5.771,4.566,-11.056,-13.197,3.767,-9.252,2.126,-13.968,13.043,-9.772,-8.595,-11.031,-16.911,-13.286,-14.266,-2.552,5.556,7.111
04/01/2016 08:00,-5.793,4.675,-3.905,-7.619,-3.406,-3.302,-12.602,6.233,9.887,5.665,-4.876,5.447,-10.72,-12.649,3.733,-8.521,2.311,-13.018,13.293,-8.277,-7.898,-10.293,-16.894,-13.256,-14.44,-1.672,5.563,7.748
04/01/2016 09:00,-4.798,4.733,-2.678,-7.121,-2.935,-2.62,-12.167,6.376,10.619,6.406,-4.016,6.331,-10.275,-11.96,3.805,-7.877,2.583,-11.68,13.786,-6.989,-6.975,-9.635,-16.647,-13.024,-14.461,-0.731,5.716,8.216
04/01/2016 10:00,-3.835,4.85,-1.94,-6.626,-2.399,-1.885,-11.894,6.792,11.405,7.182,-3.229,7.065,-10.015,-11.479,3.686,-7.401,2.86,-10.358,14.253,-6.037,-5.825,-9.166,-16.373,-12.745,-14.275,-0.081,5.986,8.619
04/01/2016 11:00,-3.089,5.062,-1.503,-6.288,-1.99,-1.239,-11.773,7.185,12.136,7.841,-2.617,7.648,-10.009,-11.2,3.63,-7.052,3.096,-9.427,14.657,-5.489,-4.691,-8.935,-16.236,-12.607,-14.048,0.415,6.266,8.839
04/01/2016 12:00,-2.607,5.341,-1.345,-6.047,-1.768,-0.804,-11.864,7.504,12.615,8.224,-2.16,8.023,-10.334,-11.292,4.058,-6.8,3.223,-9.048,14.782,-5.331,-3.739,-8.866,-16.301,-12.674,-13.984,0.686,6.454,8.713
04/01/2016 13:00,-2.463,5.618,-1.576,-5.942,-1.783,-0.678,-12.097,7.656,12.745,8.275,-1.927,8.061,-10.951,-11.926,4.368,-6.648,3.241,-9.328,14.506,-5.597,-3.155,-8.926,-16.482,-12.961,-14.156,0.63,6.498,8.264
04/01/2016 14:00,-2.835,5.702,-2.383,-6.038,-2.057,-0.923,-12.102,7.548,12.488,7.864,-2.005,7.613,-11.439,-12.804,4.356,-6.654,3.136,-10.407,13.988,-6.269,-3.278,-9.089,-16.614,-13.368,-14.484,0.06,6.385,7.711
04/01/2016 15:00,-3.629,5.47,-2.94,-6.23,-2.284,-1.338,-12.101,7.071,11.832,6.949,-2.363,6.557,-11.725,-13.257,4.122,-6.766,2.892,-11.054,13.371,-6.579,-4.024,-9.271,-16.769,-13.643,-14.721,-1.56,6.105,7.311
04/01/2016 16:00,-4.009,5.26,-2.979,-6.259,-2.358,-1.518,-12.091,6.607,10.867,6.198,-2.565,5.887,-11.948,-13.483,3.904,-6.82,2.798,-11.493,12.687,-6.662,-4.527,-9.421,-16.966,-13.854,-14.849,-2.635,5.89,7.27
04/01/2016 17:00,-4.167,5.111,-2.88,-6.208,-2.406,-1.621,-12.081,6.51,10.139,5.951,-2.664,5.599,-12.157,-13.649,3.877,-6.876,2.788,-11.872,12.055,-6.696,-4.768,-9.522,-17.139,-14.015,-14.94,-3.089,5.807,7.377
04/01/2016 18:00,-4.271,5.044,-2.757,-6.12,-2.453,-1.723,-12.046,6.412,9.67,5.763,-2.806,5.349,-12.29,-13.781,3.92,-6.932,2.856,-12.19,11.61,-6.71,-4.921,-9.625,-17.244,-14.153,-15.016,-3.433,5.753,7.603
04/01/2016 19:00,-4.358,4.999,-2.666,-5.996,-2.505,-1.821,-11.959,6.31,9.246,5.587,-2.997,5.132,-12.415,-13.863,3.804,-6.979,2.928,-12.457,11.133,-6.751,-5.086,-9.74,-17.325,-14.27,-15.049,-3.705,5.709,7.885
04/01/2016 20:00,-4.482,5.062,-2.584,-5.849,-2.564,-1.906,-11.959,6.226,8.827,5.424,-3.236,4.949,-12.495,-13.915,3.814,-7.008,3.065,-12.653,10.612,-6.816,-5.324,-9.865,-17.466,-14.362,-15.047,-3.989,5.674,8.218
04/01/2016 21:00,-4.568,5.064,-2.534,-5.588,-2.638,-2.014,-11.9,6.173,8.424,5.308,-3.35,4.889,-12.539,-13.945,3.782,-6.968,3.262,-12.737,10.096,-6.887,-5.526,-9.894,-17.645,-14.466,-15.027,-4.237,5.656,8.478
04/01/2016 22:00,-4.596,4.964,-2.452,-5.364,-2.821,-2.138,-11.854,6.131,7.98,5.186,-3.408,4.916,-12.546,-13.985,3.75,-6.918,3.467,-12.755,9.572,-6.984,-5.622,-9.89,-17.843,-14.553,-15.019,-4.383,5.637,8.718
04/01/2016 23:00,-4.635,4.727,-2.266,-5.168,-2.974,-2.264,-11.863,6.069,7.528,5.065,-3.461,4.939,-12.55,-14.044,3.473,-6.91,3.599,-12.758,9.036,-7.053,-5.68,-9.919,-18.03,-14.598,-15.017,-4.509,5.619,8.938
05/01/2016 00:00,-4.705,4.523,-2.137,-4.981,-3.043,-2.388,-11.922,6.011,7.085,4.988,-3.492,4.974,-12.582,-14.122,3.324,-6.937,3.602,-12.738,8.503,-7.08,-5.704,-9.942,-18.154,-14.607,-14.996,-4.576,5.592,9.094
05/01/2016 01:00,-4.826,4.439,-2.182,-4.822,-3.048,-2.489,-12.017,5.968,6.64,4.899,-3.568,4.987,-12.617,-14.311,3.216,-7.053,3.492,-12.71,8.128,-7.089,-5.692,-9.953,-18.248,-14.581,-14.935,-4.319,5.546,9.055
05/01/2016 02:00,-4.952,4.372,-2.341,-4.668,-3.024,-2.546,-12.11,5.925,6.195,4.828,-3.634,5.005,-12.673,-14.616,3.327,-7.175,3.357,-12.667,7.87,-7.085,-5.667,-9.939,-18.363,-14.592,-14.864,-4.054,5.519,8.887
