,[10] - BE_BATT_LI,[2] - BE_WIND_ONSHORE,[0] - BE_CCGT,[5] - BE_IND_COGEN_GAS,[4] - BE_HYDRO_RIVER,[3] - BE_WIND_OFFSHORE,[1] - BE_PV,[9] - BE_PHS
2015-01-01 00:00:00,0.0,1577.5806000000002,3523.3882393969902,6860.8844241483785,44.170540439999996,2500.347514,0.0,1164.0088464672333
2015-01-01 01:00:00,0.0,1827.5783700000006,3624.961736842105,6860.8844241483785,44.14076352,2420.3541845,0.0,1056.811733391922
2015-01-01 02:00:00,0.0,1925.6175900000003,3523.3882393969902,6860.8844241483785,44.11327716,2554.491366,0.0,0.0
2015-01-01 03:00:00,0.0,2112.921040000001,3523.3882393969902,6860.8844241483785,44.08350036,2617.0018944999997,0.0,0.0
2015-01-01 04:00:00,0.0,2905.876120000001,3523.3882393969902,6860.8844241483785,44.05486872,2026.1250344999999,0.0,0.0
2015-01-01 05:00:00,0.0,2828.460330000001,3523.3882393969902,6860.8844241483785,44.02509192,2033.8651375,0.0,0.0
2015-01-01 06:00:00,0.0,2414.7669100000007,3523.3882393969902,6860.8844241483785,43.995315000000005,2689.2674095,0.0,0.0
2015-01-01 07:00:00,0.0,2885.8985700000007,2920.719265198681,6860.8844241483785,43.9655382,3021.5634645000005,0.0,0.0
2015-01-01 08:00:00,0.0,4098.471280000002,1634.805786613681,6860.8844241483785,43.93576128,3094.1729840000007,0.7610260050000001,0.0
2015-01-01 09:00:00,0.0,4469.26976,225.36768826418256,6860.8844241483785,43.90598448,3168.7113885,1880.344740825,0.0
2015-01-01 10:00:00,0.0,4269.516530000001,225.36768826418256,6860.8844241483785,43.878498119999996,3243.1637875,7607.9330523,0.0
2015-01-01 11:00:00,0.0,3855.6226700000007,225.36768826418256,6860.8844241483785,43.8487212,3127.283418,13420.549539136236,0.0
2015-01-01 12:00:00,0.0,0.0,225.36768826418256,6860.8844241483785,0.0,1410.3739297862362,19036.93041855,0.0
2015-01-01 13:00:00,0.0,4371.52008,225.36768826418256,6860.8844241483785,43.79031276,0.0,16031.993955576236,0.0
2015-01-01 14:00:00,0.0,4579.736480000001,225.36768826418256,6860.8844241483785,43.76053596,2877.155295,10901.047780125,0.0
2015-01-01 15:00:00,0.0,4535.371620000002,225.36768826418256,6860.8844241483785,43.73075904000002,2851.5392429999997,5207.756351849999,0.0
2015-01-01 16:00:00,0.0,5086.658470000002,225.36768826418256,6860.8844241483785,43.700982240000016,3073.299285,830.1279071249999,0.0
2015-01-01 17:00:00,0.0,6208.853370000002,225.36768826418256,6860.8844241483785,43.67120532,3240.3257495000003,0.0,1164.0088464672333
2015-01-01 18:00:00,0.0,7139.446420000002,225.36768826418256,6860.8844241483785,43.64142852,3252.857342,0.0,0.0
2015-01-01 19:00:00,0.0,7758.861840000002,225.36768826418256,6860.8844241483785,43.61508744000001,3252.857342,0.0,0.0
2015-01-01 20:00:00,0.0,7827.324480000002,225.36768826418256,6860.8844241483785,43.58531052,3252.857342,0.0,0.0
2015-01-01 21:00:00,0.0,8260.349570000004,225.36768826418256,6860.8844241483785,43.55553372,3274.173336,0.0,0.0
2015-01-01 22:00:00,0.0,8532.663410000001,225.36768826418256,6860.8844241483785,43.525756799999996,3272.9324635000003,0.0,0.0
2015-01-01 23:00:00,0.0,8661.593220000004,225.36768826418256,6860.8844241483785,43.49598,3252.857342,0.0,0.0
2015-01-02 00:00:00,0.0,8627.495520000002,225.36768826418256,6860.8844241483785,43.46620308,3252.857342,0.0,0.0
2015-01-02 01:00:00,0.0,8780.834910000001,225.36768826418256,6860.8844241483785,43.43642616,3217.7565980000004,0.0,0.0
2015-01-02 02:00:00,0.0,8885.711490000002,225.36768826418256,6860.8844241483785,43.40664936,3169.7188285,0.0,0.0
2015-01-02 03:00:00,0.0,8828.317790000005,225.36768826418256,6860.8844241483785,43.38030828,3104.1859729999996,0.0,0.0
2015-01-02 04:00:00,0.0,8627.517790000004,2037.9848861920036,6860.8844241483785,43.350531360000005,3219.0834725000004,0.0,0.0
2015-01-02 05:00:00,0.0,8239.971140000001,3523.3882393969902,6860.8844241483785,43.32075456,3224.120683,0.0,0.0
2015-01-02 06:00:00,0.0,7924.91826,3523.3882393969902,6860.8844241483785,43.290977639999994,3253.8893555,0.0,0.0
2015-01-02 07:00:00,0.0,7549.6209400000025,3523.3882393969902,6860.8844241483785,43.26120084,3246.1492559999997,0.0,0.0
2015-01-02 08:00:00,0.0,7342.785360000001,3523.3882393969902,6860.8844241483785,43.231423920000005,2895.154100999999,0.0,1164.0088464672333
2015-01-02 09:00:00,0.0,6607.580330000002,3523.3882393969902,6860.8844241483785,43.201647120000004,2478.5892320000003,141.297295725,1164.0088464672333
2015-01-02 10:00:00,0.0,5448.102910000001,3523.3882393969902,6860.8844241483785,43.1718702,1892.0984285,1438.5941345249998,1164.0088464672333
2015-01-02 11:00:00,0.0,4556.306850000001,2968.516656288093,6860.8844241483785,43.14552912,3107.6628765000005,3431.3678840249995,1164.0088464672333
2015-01-02 12:00:00,0.0,4222.189560000001,876.6132083103375,6860.8844241483785,43.115752320000006,3198.8732089999994,6686.684876475,0.0
2015-01-02 13:00:00,0.0,4703.900190000001,225.36768826418256,6860.8844241483785,43.0859754,3226.5409995,11261.82515085,0.0
2015-01-02 14:00:00,0.0,4314.928150000001,225.36768826418256,6860.8844241483785,43.0561986,3248.704718,11829.449562525002,0.0
2015-01-02 15:00:00,0.0,4059.1175100000005,225.36768826418256,6860.8844241483785,43.02642168,3265.7820825,7049.28874275,0.0
