,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-01-01 00:00:00,6901.546995184565,283.85471234879475,7172.905827651206,10033.879144815432
2015-01-01 01:00:00,6542.56692440763,283.85471234879475,7172.905827651206,9511.972585592368
2015-01-01 02:00:00,6757.9549676888355,283.85471234879475,7172.905827651206,9825.116522311166
2015-01-01 03:00:00,6829.750979399094,283.85471234879475,7172.905827651206,9929.497830600909
2015-01-01 04:00:00,6901.546995184565,283.85471234879475,7172.905827651206,10033.879144815432
2015-01-01 05:00:00,6973.343006894825,64.99798533005696,7172.905827651206,10138.260453105173
2015-01-01 06:00:00,7045.139018605084,135.8650443211718,7172.905827651206,10242.641761394916
2015-01-01 07:00:00,7116.935034390555,283.85471234879475,7172.905827651206,10347.023075609442
2015-01-01 08:00:00,7116.935034390555,283.85471234879475,7172.905827651206,10347.023075609442
2015-01-01 09:00:00,6973.343006894825,283.85471234879475,7172.905827651206,10138.260453105173
2015-01-01 10:00:00,6829.750979399094,283.85471234879475,7172.905827651206,9929.497830600909
2015-01-01 11:00:00,6614.362940193103,283.85471234879475,7172.905827651206,9616.353899806896
2015-01-01 12:00:00,6470.7709126973705,283.85471234879475,7172.905827651206,9407.591277302628
2015-01-01 13:00:00,6470.7709126973705,283.85471234879475,7172.905827651206,9407.591277302628
2015-01-01 14:00:00,6470.7709126973705,283.85471234879475,7172.905827651206,9407.591277302628
2015-01-01 15:00:00,6542.56692440763,283.85471234879475,7172.905827651206,9511.972585592368
2015-01-01 16:00:00,6757.9549676888355,283.85471234879475,7172.905827651206,9825.116522311166
2015-01-01 17:00:00,6973.343006894825,283.85471234879475,7172.905827651206,10138.260453105173
2015-01-01 18:00:00,7260.527061886288,283.85471234879475,7172.905827651206,10555.785698113712
2015-01-01 19:00:00,7188.7310461008165,283.85471234879475,7172.905827651206,10451.404383899186
2015-01-01 20:00:00,7475.915101092279,283.85471234879475,7172.905827651206,10868.92962890772
2015-01-01 21:00:00,7547.71111687775,283.85471234879475,7172.905827651206,10973.31094312225
2015-01-01 22:00:00,7619.507128588009,283.85471234879475,7172.905827651206,11077.69225141199
2015-01-01 23:00:00,7763.099156083743,283.85471234879475,7172.905827651206,11286.45487391626
2015-01-02 00:00:00,8122.079222785464,283.85471234879475,7172.905827651206,11808.361427214537
2015-01-02 01:00:00,8481.059289487184,283.85471234879475,7172.905827651206,12330.267980512812
2015-01-02 02:00:00,8840.03936026412,283.85471234879475,7172.905827651206,12852.174539735877
2015-01-02 03:00:00,8983.631383684637,283.85471234879475,7172.905827651206,13060.937156315358
2015-01-02 04:00:00,9199.019426965842,283.85471234879475,7172.905827651206,13374.081093034156
2015-01-02 05:00:00,9414.407466171831,283.85471234879475,7172.905827651206,13687.225023828165
2015-01-02 06:00:00,9557.999493667563,283.85471234879475,7172.905827651206,13895.987646332434
2015-01-02 07:00:00,9701.591521163296,283.85471234879475,7172.905827651206,14104.750268836704
2015-01-02 08:00:00,9701.591521163296,283.85471234879475,7172.905827651206,14104.750268836704
2015-01-02 09:00:00,9342.611454461574,283.85471234879475,7172.905827651206,13582.843715538424
2015-01-02 10:00:00,9270.815438676102,283.85471234879475,7172.905827651206,13478.462401323897
2015-01-02 11:00:00,8983.631383684637,283.85471234879475,7172.905827651206,13060.937156315358
2015-01-02 12:00:00,8481.059289487184,283.85471234879475,7172.905827651206,12330.267980512812
2015-01-02 13:00:00,8265.671250281195,283.85471234879475,7172.905827651206,12017.124049718805
2015-01-02 14:00:00,7906.691183579473,283.85471234879475,7172.905827651206,11495.217496420524
2015-01-02 15:00:00,8122.079222785464,283.85471234879475,7172.905827651206,11808.361427214537
2015-01-02 16:00:00,8481.059289487184,283.85471234879475,7172.905827651206,12330.267980512812
2015-01-02 17:00:00,8696.447332768392,283.85471234879475,7172.905827651206,12643.41191723161
2015-01-02 18:00:00,8911.835371974379,283.85471234879475,7172.905827651206,12956.555848025615
2015-01-02 19:00:00,9055.42739947011,283.85471234879475,7172.905827651206,13165.318470529885
2015-01-02 20:00:00,9270.815438676102,283.85471234879475,7172.905827651206,13478.462401323897
2015-01-02 21:00:00,9414.407466171831,283.85471234879475,7172.905827651206,13687.225023828165
2015-01-02 22:00:00,9629.795505377824,283.85471234879475,7172.905827651206,14000.368954622172
2015-01-02 23:00:00,9845.183548659028,283.85471234879475,7172.905827651206,14313.51289134097
2015-01-03 00:00:00,9916.979560369286,283.85471234879475,7172.905827651206,14417.894199630713
2015-01-03 01:00:00,9988.77557615476,283.85471234879475,7172.905827651206,14522.275513845241
2015-01-03 02:00:00,9988.77557615476,283.85471234879475,7172.905827651206,14522.275513845241
2015-01-03 03:00:00,10060.571587865019,283.85471234879475,7172.905827651206,14626.65682213498
2015-01-03 04:00:00,10060.571587865019,283.85471234879475,7172.905827651206,14626.65682213498
2015-01-03 05:00:00,10060.571587865019,283.85471234879475,7172.905827651206,14626.65682213498
2015-01-03 06:00:00,10060.571587865019,283.85471234879475,7172.905827651206,14626.65682213498
2015-01-03 07:00:00,10060.571587865019,283.85471234879475,7172.905827651206,14626.65682213498
2015-01-03 08:00:00,10060.571587865019,283.85471234879475,7172.905827651206,14626.65682213498
2015-01-03 09:00:00,8696.447332768392,283.85471234879475,7172.905827651206,12643.41191723161
2015-01-03 10:00:00,7260.527061886288,283.85471234879475,7172.905827651206,10555.785698113712
2015-01-03 11:00:00,6327.17888520164,283.85471234879475,7172.905827651206,9198.82865479836
