,[10] - BE_BATT_LI,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[9] - BE_PHS,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-01-01 00:00:00,0.0,390.253,0.0,0.0,7456.7609999999995,12852.076
2015-01-01 01:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14369.936000000002
2015-01-01 02:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14430.89
2015-01-01 03:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14046.644034227818
2015-01-01 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15488.770878811798
2015-01-01 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15150.241921780167
2015-01-01 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15810.280592030578
2015-01-01 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16199.938
2015-01-01 08:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15972.964000000002
2015-01-01 09:00:00,0.0,5601.96513226412,0.0,0.0,7456.7609999999995,15745.99
2015-01-01 10:00:00,0.0,28313.606845524122,0.0,0.0,7456.7609999999995,15519.016
2015-01-01 11:00:00,6758.736905186029,29094.192000000003,0.0,0.0,7456.7609999999995,15292.042
2015-01-01 12:00:00,10516.76019549103,29094.192000000003,0.0,0.0,7456.7609999999995,15178.554999999997
2015-01-01 13:00:00,5453.038291766735,29094.192000000003,0.0,0.0,7456.7609999999995,26980.286650252903
2015-01-01 14:00:00,2726.519145883367,29094.192000000003,0.0,0.0,7456.7609999999995,16465.739038291827
2015-01-01 15:00:00,1363.2595729416826,29094.192000000003,0.0,0.0,7456.7609999999995,3264.2912607541134
2015-01-01 16:00:00,681.6297864708431,16598.62022085292,0.0,0.0,7456.7609999999995,3867.0857454004126
2015-01-01 17:00:00,340.81489323542337,7592.312213782436,0.0,0.0,7456.7609999999995,13022.368
2015-01-01 18:00:00,170.40744661771532,11743.719726253265,0.0,0.0,7456.7609999999995,13249.341999999999
2015-01-01 19:00:00,85.20372330885948,18915.524584237617,0.0,0.0,7456.7609999999995,13476.316
2015-01-01 20:00:00,42.60186165443156,18905.760877975335,0.0,0.0,7456.7609999999995,13816.776999999998
2015-01-01 21:00:00,21.300930827219418,20505.608093284187,0.0,0.0,7456.7609999999995,14043.751
2015-01-01 22:00:00,10.650465413611528,17818.065938816235,0.0,0.0,7456.7609999999995,16442.966
2015-01-01 23:00:00,5.325232706807583,9568.542005110598,0.0,0.0,7456.7609999999995,22005.675
2015-01-02 00:00:00,2.6626163534056104,21000.800043392912,0.0,0.0,7456.7609999999995,12852.076
2015-01-02 01:00:00,1.3313081767046242,17350.379333777302,0.0,0.0,7456.7609999999995,14369.936000000002
2015-01-02 02:00:00,0.6656540883523121,17499.014212130718,0.0,0.0,7456.7609999999995,14430.89
2015-01-02 03:00:00,0.33282704417797504,20843.869028787423,0.0,0.0,7456.7609999999995,11554.101
2015-01-02 04:00:00,0.16641352208898752,14004.373947995788,0.0,0.0,7456.7609999999995,16426.911999999997
2015-01-02 05:00:00,0.08320676104631275,12777.151646639937,0.0,0.0,7456.7609999999995,16199.938
2015-01-02 06:00:00,0.041603380523156375,11484.761254082026,0.0,0.0,7456.7609999999995,16313.425
2015-01-02 07:00:00,0.020801690261578187,10103.876544043076,0.0,0.0,7456.7609999999995,16199.938
2015-01-02 08:00:00,0.010400845130789094,8175.077836543598,0.0,0.0,7456.7609999999995,15972.964000000002
