,Heat
AT,3046.36
BA,3047.36
BE,10012.4
BG,1570.29
CH,4437.277666
CY,0
CZ,4687.31
DE,45994.1
DK,1544.11
EE,217.2
IE,1529.49
EL,3034.71
ES,16891.3
FI,443.6
FR,27027.4
HR,2547.42
HU,7329.51
IS,0
IT,60433.4
LT,362.75
LU,416.6
LV,441.68
MT,0
NL,9700.67
NO,802.8748262
PL,10262
PT,1526.285771
RO,8144.39
RS,3087.415084
SE,119.006
SI,1008.32
SK,2094.43
UK,18081.6132
