,[10] - BE_BATT_LI,[2] - BE_WIND_ONSHORE,[0] - BE_CCGT,[9] - BE_PHS,[1] - BE_PV,[4] - BE_HYDRO_RIVER,[5] - BE_IND_COGEN_GAS,[3] - BE_WIND_OFFSHORE
2015-01-01 00:00:00,0.0,1577.5806000000002,2183.940783392767,1164.0088464672333,0.0,44.170540439999996,7132.391896499999,2500.347514
2015-01-01 01:00:00,0.0,1827.5783700000006,2529.5027208880797,1056.811733391922,0.0,44.14076352,7132.391896499999,2420.3541845
2015-01-01 02:00:00,0.0,1925.6175900000003,2660.9095034423176,713.5720038976838,0.0,44.11327716,7132.391896499999,2554.491366
2015-01-01 03:00:00,0.0,2112.921040000001,2454.810672735912,541.8174525122222,0.0,44.08350036,7132.391896499999,2617.0018944999997
2015-01-01 04:00:00,0.0,2905.876120000001,2819.4146842105265,455.8247299774474,0.0,44.05486872,7132.391896499999,2026.1250344999999
2015-01-01 05:00:00,0.0,2828.460330000001,2819.4146842105265,412.6984923988041,0.0,44.02509192,7132.391896499999,2033.8651375
2015-01-01 06:00:00,0.0,2414.7669100000007,2819.4146842105265,391.0103061132655,0.0,43.995315000000005,7132.391896499999,2689.2674095
2015-01-01 07:00:00,0.0,2885.8985700000007,2156.8587192136715,380.0411469863266,0.0,43.9655382,7132.391896499999,3021.5634645000005
2015-01-01 08:00:00,0.0,4098.471280000002,800.9044534883593,374.4314999266403,0.7610260050000001,43.93576128,7132.391896499999,3094.1729840000007
2015-01-01 09:00:00,0.0,4469.26976,175.2859797610309,0.0,1880.344740825,43.90598448,7132.391896499999,3168.7113885
2015-01-01 10:00:00,0.0,4269.516530000001,175.2859797610309,0.0,7607.9330523,43.878498119999996,7132.391896499999,3243.1637875
2015-01-01 11:00:00,0.0,3855.6226700000007,175.2859797610309,0.0,15015.969818325,43.8487212,7132.391896499999,3127.283418
2015-01-01 12:00:00,0.0,3696.5817700000002,175.2859797610309,0.0,19036.93041855,43.82008968,7132.391896499999,2985.5904225
2015-01-01 13:00:00,0.0,4371.52008,175.2859797610309,0.0,17222.541304275,43.79031276,7132.391896499999,2994.866259
2015-01-01 14:00:00,0.0,4579.736480000001,175.2859797610309,0.0,10901.047780125,43.76053596,7132.391896499999,2877.155295
2015-01-01 15:00:00,0.0,4535.371620000002,175.2859797610309,0.0,5207.756351849999,43.73075904000002,7132.391896499999,2851.5392429999997
2015-01-01 16:00:00,0.0,5086.658470000002,175.2859797610309,0.0,830.1279071249999,43.700982240000016,7132.391896499999,3073.299285
2015-01-01 17:00:00,0.0,6208.853370000002,175.2859797610309,0.0,0.0,43.67120532,7132.391896499999,3240.3257495000003
2015-01-01 18:00:00,0.0,7139.446420000002,175.2859797610309,0.0,0.0,43.64142852,7132.391896499999,3252.857342
2015-01-01 19:00:00,0.0,7758.861840000002,175.2859797610309,1164.0088464672333,0.0,43.61508744000001,7132.391896499999,3252.857342
2015-01-01 20:00:00,0.0,7827.324480000002,175.2859797610309,1164.0088464672333,0.0,43.58531052,7132.391896499999,3252.857342
2015-01-01 21:00:00,0.0,8260.349570000004,175.2859797610309,1164.0088464672333,0.0,43.55553372,7132.391896499999,3274.173336
2015-01-01 22:00:00,0.0,8532.663410000001,175.2859797610309,1010.0880113566392,0.0,43.525756799999996,7132.391896499999,3272.9324635000003
2015-01-01 23:00:00,0.0,8661.593220000004,175.2859797610309,687.607793223425,0.0,43.49598,7132.391896499999,3252.857342
2015-01-02 00:00:00,0.0,8627.495520000002,175.2859797610309,526.2426166606009,0.0,43.46620308,7132.391896499999,3252.857342
2015-01-02 01:00:00,0.0,8780.834910000001,175.2859797610309,0.0,0.0,43.43642616,7132.391896499999,3217.7565980000004
2015-01-02 02:00:00,0.0,8885.711490000002,175.2859797610309,0.0,0.0,43.40664936,7132.391896499999,3169.7188285
2015-01-02 03:00:00,0.0,8828.317790000005,175.2859797610309,0.0,0.0,43.38030828,7132.391896499999,3104.1859729999996
2015-01-02 04:00:00,0.0,8627.517790000004,175.2859797610309,0.0,0.0,43.350531360000005,7132.391896499999,3219.0834725000004
2015-01-02 05:00:00,0.0,8239.971140000001,175.2859797610309,0.0,0.0,43.32075456,7132.391896499999,3224.120683
2015-01-02 06:00:00,0.0,7924.91826,175.2859797610309,0.0,0.0,43.290977639999994,7132.391896499999,3253.8893555
2015-01-02 07:00:00,0.0,7549.6209400000025,175.2859797610309,0.0,0.0,43.26120084,7132.391896499999,3246.1492559999997
2015-01-02 08:00:00,0.0,7342.785360000001,175.2859797610309,0.0,0.0,43.231423920000005,7132.391896499999,2895.154100999999
2015-01-02 09:00:00,0.0,6607.580330000002,175.2859797610309,0.0,141.297295725,43.201647120000004,7132.391896499999,2478.5892320000003
2015-01-02 10:00:00,0.0,5448.102910000001,175.2859797610309,0.0,1438.5941345249998,43.1718702,7132.391896499999,1892.0984285
2015-01-02 11:00:00,0.0,4556.306850000001,175.2859797610309,0.0,3431.3678840249995,43.14552912,7132.391896499999,3107.6628765000005
2015-01-02 12:00:00,0.0,4222.189560000001,175.2859797610309,0.0,6686.684876475,43.115752320000006,7132.391896499999,3198.8732089999994
2015-01-02 13:00:00,0.0,4703.900190000001,175.2859797610309,0.0,11261.82515085,43.0859754,7132.391896499999,3226.5409995
2015-01-02 14:00:00,0.0,4314.928150000001,175.2859797610309,0.0,11829.449562525002,43.0561986,7132.391896499999,3248.704718
2015-01-02 15:00:00,0.0,4059.1175100000005,175.2859797610309,0.0,7049.28874275,43.02642168,7132.391896499999,3265.7820825
