,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,GB,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK
2013-01-01 00:00:00,10376.0,9191.0,4101.0,8477.0,9587.0,62622.0,4237.0,1088.0,5595.0,18623.0,6841.0,43916.0,32863.0,4179.0,11157.0,2919.0,66173.0,1710.0,676.0,1546.0,11626.0,7822.0,26150.0,1754.0,10989.0,7453.0,1813.0,5117.0
2013-01-01 01:00:00,10616.0,9401.0,4364.0,8672.0,9810.0,63932.0,4320.0,1176.0,6224.0,19064.0,7362.0,44952.0,35124.0,4288.0,11415.0,3102.0,67908.0,1840.0,693.0,1669.0,11890.0,8003.0,26699.0,1836.0,11593.0,7626.0,1854.0,5225.0
2013-01-01 02:00:00,11340.0,10569.0,4953.0,9304.0,10531.0,71009.0,4857.0,1386.0,7672.0,21149.0,8487.0,50271.0,35754.0,4575.0,12154.0,3165.0,73627.0,2156.0,778.0,1963.0,13384.0,8595.0,28872.0,1903.0,12918.0,8250.0,1984.0,5573.0
2013-01-01 03:00:00,12891.0,12989.0,6518.0,10722.0,12081.0,87110.0,6110.0,1954.0,10537.0,26067.0,11565.0,61865.0,40137.0,5259.0,13612.0,3562.0,85821.0,2998.0,945.0,2749.0,16389.0,9833.0,34418.0,2150.0,16962.0,9557.0,2315.0,6137.0
2013-01-01 04:00:00,17213.0,17162.0,7676.0,14586.0,16322.0,119533.0,8449.0,2340.0,12591.0,36290.0,13754.0,83109.0,51148.0,6959.0,17815.0,4466.0,114183.0,3553.0,1223.0,3284.0,21538.0,13247.0,49036.0,2704.0,20914.0,12901.0,3197.0,7982.0
2013-01-01 05:00:00,20451.0,20486.0,7344.0,17326.0,19356.0,143204.0,10141.0,2266.0,12296.0,43647.0,13383.0,98846.0,72764.0,8201.0,21106.0,6128.0,134884.0,3425.0,1463.0,3182.0,25853.0,15730.0,58774.0,3711.0,19611.0,15298.0,3818.0,9469.0
2013-01-01 06:00:00,19722.0,20081.0,7321.0,16752.0,18763.0,139333.0,9840.0,2169.0,11848.0,42413.0,13040.0,96205.0,87481.0,7779.0,20399.0,7359.0,130539.0,3306.0,1452.0,3053.0,25453.0,15298.0,56431.0,4630.0,19298.0,14918.0,3641.0,9314.0
2013-01-01 07:00:00,19492.0,19776.0,7054.0,16374.0,18410.0,134514.0,9435.0,2088.0,11007.0,40624.0,12543.0,93864.0,84136.0,7735.0,20465.0,7147.0,128960.0,3179.0,1438.0,2938.0,25194.0,14981.0,53888.0,4599.0,18526.0,14583.0,3538.0,9401.0
2013-01-01 08:00:00,18738.0,18222.0,6788.0,15750.0,17707.0,125723.0,8728.0,1987.0,10284.0,38037.0,11952.0,86882.0,79456.0,7451.0,19651.0,6886.0,122463.0,3038.0,1325.0,2798.0,23227.0,14398.0,51771.0,4402.0,17843.0,13958.0,3411.0,8973.0
2013-01-01 09:00:00,17938.0,16995.0,6513.0,15047.0,16910.0,118060.0,8159.0,1908.0,9643.0,35689.0,11467.0,81377.0,73750.0,7177.0,18823.0,6363.0,116482.0,2912.0,1233.0,2686.0,21611.0,13736.0,49331.0,4069.0,17143.0,13275.0,3270.0,8542.0
2013-01-01 10:00:00,17241.0,16096.0,6374.0,14448.0,16226.0,112454.0,7754.0,1857.0,9333.0,33915.0,11156.0,77060.0,69142.0,6880.0,18122.0,5943.0,111012.0,2839.0,1166.0,2613.0,20487.0,13169.0,47420.0,3719.0,16717.0,12698.0,3147.0,8242.0
2013-01-01 11:00:00,16819.0,15679.0,6312.0,14082.0,15809.0,109556.0,7564.0,1825.0,9391.0,32979.0,11009.0,75136.0,65853.0,6750.0,17687.0,5645.0,108260.0,2816.0,1132.0,2574.0,19931.0,12810.0,46254.0,3499.0,16454.0,12352.0,3078.0,8006.0
2013-01-01 12:00:00,16562.0,15690.0,6399.0,13892.0,15647.0,108353.0,7476.0,1837.0,9431.0,32624.0,11091.0,75315.0,64348.0,6709.0,17379.0,5508.0,108398.0,2840.0,1127.0,2590.0,19904.0,12675.0,45451.0,3350.0,16563.0,12269.0,3017.0,7832.0
2013-01-01 13:00:00,16730.0,15904.0,6512.0,14017.0,15794.0,109442.0,7560.0,1856.0,9755.0,32865.0,11232.0,76304.0,63326.0,6821.0,17582.0,5463.0,109729.0,2893.0,1139.0,2622.0,20170.0,12773.0,45813.0,3280.0,16930.0,12372.0,3051.0,7890.0
2013-01-01 14:00:00,16952.0,16325.0,6756.0,14207.0,16031.0,111626.0,7742.0,1938.0,10148.0,33549.0,11681.0,78704.0,63997.0,6965.0,17777.0,5531.0,112541.0,3009.0,1160.0,2734.0,20594.0,12968.0,46387.0,3257.0,17658.0,12586.0,3085.0,7947.0
2013-01-01 15:00:00,17585.0,17056.0,6879.0,14765.0,16660.0,116624.0,8100.0,1998.0,10515.0,35045.0,11969.0,82164.0,65629.0,7255.0,18385.0,5671.0,116985.0,3094.0,1206.0,2816.0,21546.0,13466.0,48451.0,3261.0,18048.0,13093.0,3217.0,8161.0
2013-01-01 16:00:00,17969.0,17798.0,6889.0,15130.0,17049.0,121616.0,8506.0,1998.0,10843.0,36524.0,11944.0,85632.0,68758.0,7403.0,18729.0,5937.0,120007.0,3109.0,1255.0,2817.0,22483.0,13772.0,50143.0,3410.0,17908.0,13423.0,3307.0,8317.0
2013-01-01 17:00:00,17932.0,18052.0,6803.0,15127.0,17036.0,122989.0,8654.0,1985.0,11036.0,37097.0,11819.0,87249.0,72422.0,7445.0,18645.0,6229.0,121140.0,3090.0,1265.0,2798.0,22712.0,13740.0,50363.0,3563.0,17782.0,13430.0,3314.0,8231.0
2013-01-01 18:00:00,17731.0,18098.0,6540.0,14980.0,16847.0,123308.0,8725.0,1937.0,10665.0,37368.0,11481.0,87670.0,73913.0,7361.0,18386.0,6338.0,120486.0,2996.0,1266.0,2727.0,22726.0,13590.0,50195.0,3625.0,17204.0,13300.0,3290.0,8111.0
2013-01-01 19:00:00,17121.0,17537.0,5900.0,14511.0,16311.0,119934.0,8482.0,1751.0,9682.0,36349.0,10400.0,84753.0,74721.0,7073.0,17683.0,6381.0,116060.0,2703.0,1232.0,2465.0,22078.0,13177.0,48854.0,3713.0,15665.0,12906.0,3187.0,7798.0
2013-01-01 20:00:00,15487.0,15789.0,4819.0,13120.0,14757.0,107961.0,7608.0,1372.0,7387.0,32794.0,8301.0,76190.0,72646.0,6360.0,15998.0,6196.0,104796.0,2124.0,1115.0,1937.0,19924.0,11948.0,44015.0,3649.0,13143.0,11689.0,2869.0,7087.0
2013-01-01 21:00:00,12620.0,12016.0,4040.0,10511.0,11818.0,82755.0,5754.0,1101.0,5649.0,25063.0,6828.0,58026.0,64945.0,5132.0,13251.0,5557.0,82783.0,1711.0,860.0,1559.0,15162.0,9600.0,34304.0,3367.0,10994.0,9259.0,2294.0,5951.0
2013-01-01 22:00:00,10542.0,9524.0,3931.0,8651.0,9766.0,65121.0,4441.0,999.0,5413.0,19454.0,6221.0,45564.0,48894.0,4249.0,11277.0,4194.0,67569.0,1570.0,693.0,1426.0,12074.0,7952.0,27188.0,2562.0,10462.0,7596.0,1865.0,5151.0
2013-01-01 23:00:00,9829.0,10267.0,4038.0,8360.0,8861.0,67239.0,4511.0,1042.0,5688.0,17417.0,6467.0,49011.0,37093.0,3722.0,10930.0,3248.0,57801.0,1640.0,838.0,1488.0,12528.0,8344.0,25023.0,1932.0,10625.0,7736.0,1677.0,5018.0
2013-01-02 00:00:00,10132.0,10844.0,4143.0,8643.0,9211.0,70607.0,4743.0,1064.0,5880.0,18383.0,6619.0,51688.0,33187.0,3858.0,11179.0,2445.0,60322.0,1681.0,869.0,1522.0,13216.0,8593.0,26120.0,1916.0,10854.0,8037.0,1732.0,5136.0
2013-01-02 01:00:00,10374.0,11100.0,4412.0,8848.0,9437.0,72212.0,4850.0,1151.0,6549.0,18826.0,7138.0,52926.0,35528.0,3954.0,11438.0,2595.0,61970.0,1811.0,892.0,1644.0,13523.0,8795.0,26690.0,2012.0,11470.0,8236.0,1772.0,5245.0
2013-01-02 02:00:00,11106.0,12410.0,5007.0,9491.0,10166.0,79305.0,5332.0,1359.0,8102.0,20949.0,8265.0,58686.0,36159.0,4259.0,12193.0,2647.0,67615.0,2121.0,961.0,1933.0,15209.0,9413.0,28861.0,2084.0,12826.0,8878.0,1898.0,5605.0
2013-01-02 03:00:00,12673.0,15135.0,6590.0,10910.0,11762.0,95248.0,6436.0,1915.0,11183.0,25962.0,11309.0,71136.0,40698.0,4988.0,13638.0,2983.0,79869.0,2950.0,1084.0,2708.0,18634.0,10644.0,34396.0,2354.0,16862.0,10214.0,2216.0,6167.0
2013-01-02 04:00:00,16993.0,20064.0,7763.0,14790.0,16050.0,130605.0,8881.0,2295.0,13386.0,36186.0,13461.0,95527.0,52076.0,6733.0,17840.0,3739.0,107580.0,3496.0,1416.0,3236.0,24542.0,14147.0,48996.0,2956.0,20643.0,13761.0,3067.0,8025.0
2013-01-02 05:00:00,20155.0,23931.0,7428.0,17569.0,19053.0,155998.0,10605.0,2220.0,13069.0,43574.0,13098.0,113397.0,74112.0,7954.0,21133.0,5133.0,127377.0,3369.0,1668.0,3133.0,29450.0,16805.0,58740.0,4051.0,19414.0,16305.0,3664.0,9517.0
2013-01-02 06:00:00,19466.0,23458.0,7401.0,16975.0,18490.0,151663.0,10273.0,2126.0,12553.0,42344.0,12722.0,110250.0,89165.0,7569.0,20431.0,6169.0,123512.0,3253.0,1646.0,3008.0,29013.0,16301.0,56376.0,5043.0,19134.0,15885.0,3494.0,9370.0
2013-01-02 07:00:00,19196.0,23036.0,7129.0,16628.0,18014.0,146771.0,9918.0,2046.0,11652.0,40507.0,12231.0,107745.0,85770.0,7439.0,20496.0,5986.0,121039.0,3126.0,1631.0,2892.0,28617.0,16122.0,53852.0,5013.0,18383.0,15554.0,3392.0,9447.0
2013-01-02 08:00:00,18452.0,21322.0,6863.0,15986.0,17319.0,138601.0,9361.0,1947.0,10883.0,37821.0,11655.0,100500.0,80918.0,7116.0,19677.0,5779.0,114509.0,2989.0,1568.0,2755.0,26373.0,15471.0,51728.0,4792.0,17706.0,14924.0,3271.0,9013.0
2013-01-02 09:00:00,17663.0,19940.0,6585.0,15286.0,16527.0,130920.0,8846.0,1870.0,10199.0,35438.0,11173.0,94584.0,74945.0,6823.0,18859.0,5338.0,108577.0,2865.0,1493.0,2645.0,24544.0,14792.0,49312.0,4425.0,17012.0,14229.0,3134.0,8588.0
2013-01-02 10:00:00,16969.0,18900.0,6446.0,14681.0,15837.0,124952.0,8445.0,1821.0,9871.0,33645.0,10874.0,89810.0,70177.0,6532.0,18157.0,4984.0,103218.0,2794.0,1425.0,2575.0,23255.0,14208.0,47400.0,4050.0,16610.0,13620.0,3016.0,8284.0
2013-01-02 11:00:00,16562.0,18414.0,6384.0,14321.0,15426.0,121756.0,8236.0,1789.0,9910.0,32733.0,10743.0,87648.0,66798.0,6404.0,17734.0,4735.0,100580.0,2772.0,1383.0,2535.0,22635.0,13844.0,46255.0,3806.0,16340.0,13257.0,2951.0,8054.0
2013-01-02 12:00:00,16321.0,18374.0,6471.0,14114.0,15308.0,120555.0,8163.0,1799.0,9945.0,32346.0,10810.0,87743.0,65303.0,6383.0,17419.0,4624.0,100924.0,2793.0,1383.0,2551.0,22526.0,13644.0,45453.0,3646.0,16469.0,13163.0,2893.0,7878.0
2013-01-02 13:00:00,16483.0,18612.0,6585.0,14239.0,15429.0,121660.0,8245.0,1818.0,10279.0,32588.0,10955.0,88909.0,64213.0,6483.0,17623.0,4590.0,101999.0,2845.0,1392.0,2581.0,22820.0,13756.0,45795.0,3564.0,16812.0,13261.0,2924.0,7937.0
2013-01-02 14:00:00,16703.0,19080.0,6831.0,14428.0,15684.0,123946.0,8416.0,1900.0,10693.0,33279.0,11411.0,91516.0,64931.0,6643.0,17818.0,4653.0,104836.0,2961.0,1418.0,2694.0,23292.0,13944.0,46370.0,3540.0,17513.0,13485.0,2957.0,7994.0
2013-01-02 15:00:00,17329.0,19902.0,6957.0,14990.0,16333.0,129366.0,8790.0,1958.0,11088.0,34773.0,11694.0,95455.0,66626.0,6926.0,18411.0,4775.0,109110.0,3044.0,1474.0,2773.0,24324.0,14441.0,48452.0,3545.0,17896.0,14025.0,3084.0,8199.0
2013-01-02 16:00:00,17719.0,20721.0,6967.0,15353.0,16732.0,134017.0,9119.0,1960.0,11445.0,36292.0,11683.0,99100.0,69817.0,7113.0,18768.0,5005.0,112258.0,3060.0,1495.0,2777.0,25389.0,14748.0,50123.0,3698.0,17785.0,14342.0,3171.0,8366.0
