Scenario,region,id,r,fuel_class,fraction
Baseline,Africa,2016,12,OIL,0.017189931
Baseline,Africa,2016,12,PEA,0.00016636
Baseline,Africa,2016,12,SUN,0.009623311
Baseline,Africa,2016,12,WAT,0.150010506
Baseline,Africa,2016,12,WIN,0.01815114
Baseline,Africa,2006,13,BIO,0.003138637
Baseline,Africa,2006,13,GAS,0.390975945
Baseline,Africa,2006,13,GEO,0.006589797
Baseline,Africa,2006,13,HRD,0.384017207
Baseline,Africa,2006,13,NUC,0.021404875
Baseline,Africa,2006,13,OIL,0.013632308
Baseline,Africa,2006,13,PEA,0.000166359
Baseline,Africa,2006,13,SUN,0.0096185
Baseline,Africa,2006,13,WAT,0.152531973
Baseline,Africa,2006,13,WIN,0.017924399
Baseline,Africa,1999,14,BIO,0.00309427
Baseline,Africa,1999,14,GAS,0.390378387
Baseline,Africa,1999,14,GEO,0.006589555
Baseline,Africa,1999,14,HRD,0.381686332
Baseline,Africa,1999,14,NUC,0.02140409
Baseline,Africa,1999,14,OIL,0.016211692
Baseline,Africa,1999,14,PEA,0.000166353
Baseline,Africa,1999,14,SUN,0.009618793
Baseline,Africa,1999,14,WAT,0.152791265
Baseline,Africa,1999,14,WIN,0.018059264
Baseline,Africa,2012,15,BIO,0.003004518
Baseline,Africa,2012,15,GAS,0.391624571
Baseline,Africa,2012,15,GEO,0.00659127
Baseline,Africa,2012,15,HRD,3.80E-01
Baseline,Africa,2012,15,NUC,0.02140966
Baseline,Africa,2012,15,OIL,0.016107827
Baseline,Africa,2012,15,PEA,0.000166396
Baseline,Africa,2012,15,SUN,0.009625117
Baseline,Africa,2012,15,WAT,0.153739691
Baseline,Africa,2012,15,WIN,0.018116141
Baseline,Africa,1983,16,BIO,0.003128766
Baseline,Africa,1983,16,GAS,0.397725948
Baseline,Africa,1983,16,GEO,0.006589934
Baseline,Africa,1983,16,HRD,0.371680136
Baseline,Africa,1983,16,NUC,0.02140532
Baseline,Africa,1983,16,OIL,0.016471909
Baseline,Africa,1983,16,PEA,0.000166363
Baseline,Africa,1983,16,SUN,0.009618133
Baseline,Africa,1983,16,WAT,0.155186902
Baseline,Africa,1983,16,WIN,0.018026588
Baseline,Africa,1997,17,BIO,0.00308149
Baseline,Africa,1997,17,GAS,0.387840429
Baseline,Africa,1997,17,GEO,0.006589305
Baseline,Africa,1997,17,HRD,0.384529139
Baseline,Africa,1997,17,NUC,0.021403278
Baseline,Africa,1997,17,OIL,0.013090508
Baseline,Africa,1997,17,PEA,0.000166347
Baseline,Africa,1997,17,SUN,0.00961862
Baseline,Africa,1997,17,WAT,0.155654693
Baseline,Africa,1997,17,WIN,0.018026191
Baseline,Africa,2013,18,BIO,0.003120187
Baseline,Africa,2013,18,GAS,0.390513688
Baseline,Africa,2013,18,GEO,0.006590382
Baseline,Africa,2013,18,HRD,0.376122178
Baseline,Africa,2013,18,NUC,0.021406776
Baseline,Africa,2013,18,OIL,0.015995598
Baseline,Africa,2013,18,PEA,0.000166374
Baseline,Africa,2013,18,SUN,0.009620155
Baseline,Africa,2013,18,WAT,0.158298619
Baseline,Africa,2013,18,WIN,0.018166043
Baseline,Africa,2007,19,BIO,0.003068589
Baseline,Africa,2007,19,GAS,0.392023442
Baseline,Africa,2007,19,GEO,0.006589821
Baseline,Africa,2007,19,HRD,0.373715174
Baseline,Africa,2007,19,NUC,0.021404955
Baseline,Africa,2007,19,OIL,0.016304441
Baseline,Africa,2007,19,PEA,0.00016636
Baseline,Africa,2007,19,SUN,0.009618726
Baseline,Africa,2007,19,WAT,0.159065598
Baseline,Africa,2007,19,WIN,0.018042893
Baseline,Africa,1992,20,BIO,0.003093872
Baseline,Africa,1992,20,GAS,0.385206447
Baseline,Africa,1992,20,GEO,0.006590742
