Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Baseline,2008,EAPP,0.000338932,0.016208848,0.00021966,0.010504877
Thermal,Baseline,2009,EAPP,0.000344316,0.016171356,0.000223149,0.010480579
Thermal,Baseline,2010,EAPP,0.00032511,0.015909064,0.000210702,0.010310588
Thermal,Baseline,2011,EAPP,0.00032396,0.015897254,0.000209957,0.010302934
Thermal,Baseline,2012,EAPP,0.000333047,0.015360162,0.000215846,0.009954847
Thermal,Baseline,2013,EAPP,0.000332996,0.015758155,0.000215813,0.010212785
Thermal,Baseline,2014,EAPP,0.000346445,0.015108199,0.000224529,0.009791551
Thermal,Baseline,2015,EAPP,0.000345691,0.015135794,0.000224041,0.009809436
Thermal,Baseline,2016,EAPP,0.000345857,0.01549358,0.000224148,0.010041315
Thermal,Baseline,2017,EAPP,0.000350029,0.014743017,0.000226852,0.009554879
Thermal,Baseline,2018,EAPP,0.000332608,0.015203654,0.000215562,0.009853416
Thermal,Baseline,1980,NAPP,0.001943228,0.158249621,0.001542291,0.125598658
Thermal,Baseline,1981,NAPP,0.001929455,0.156712885,0.001531359,0.12437899
Thermal,Baseline,1982,NAPP,0.001939657,0.157912384,0.001539456,0.125331001
Thermal,Baseline,1983,NAPP,0.001949782,0.158539133,0.001547492,0.125828436
Thermal,Baseline,1984,NAPP,0.001949477,0.158586667,0.00154725,0.125866163
Thermal,Baseline,1985,NAPP,0.001936484,0.157681271,0.001536938,0.125147573
Thermal,Baseline,1986,NAPP,0.001930454,0.15704279,0.001532151,0.124640827
Thermal,Baseline,1987,NAPP,0.001940719,0.158062068,0.001540299,0.125449802
Thermal,Baseline,1988,NAPP,0.001941406,0.158111066,0.001540844,0.125488691
Thermal,Baseline,1989,NAPP,0.00193905,0.158069169,0.001538974,0.125455438
Thermal,Baseline,1990,NAPP,0.001948045,0.158474454,0.001546113,0.125777102
Thermal,Baseline,1991,NAPP,0.001935537,0.157482794,0.001536186,0.124990047
Thermal,Baseline,1992,NAPP,0.001947619,0.15887179,0.001545775,0.126092457
Thermal,Baseline,1993,NAPP,0.001949789,0.158523767,0.001547497,0.125816241
Thermal,Baseline,1994,NAPP,0.001934763,0.157459843,0.001535571,0.124971831
Thermal,Baseline,1995,NAPP,0.001947448,0.158534753,0.00154564,0.12582496
Thermal,Baseline,1996,NAPP,0.001946646,0.158630687,0.001545003,0.1259011
Thermal,Baseline,1997,NAPP,0.001952281,0.158612807,0.001549475,0.125886909
Thermal,Baseline,1998,NAPP,0.001936391,0.15751877,0.001536864,0.1250186
Thermal,Baseline,1999,NAPP,0.001947483,0.158622347,0.001545668,0.125894481
Thermal,Baseline,2000,NAPP,0.001962634,0.157830337,0.001557692,0.125265883
Thermal,Baseline,2001,NAPP,0.001946998,0.158406425,0.001545282,0.125723109
Thermal,Baseline,2002,NAPP,0.001951923,0.158566423,0.001549191,0.125850096
Thermal,Baseline,2003,NAPP,0.001945526,0.158447467,0.001544114,0.125755683
Thermal,Baseline,2004,NAPP,0.001954211,0.159259081,0.001551007,0.12639984
Thermal,Baseline,2005,NAPP,0.001949194,0.15859819,0.001547025,0.125875308
Thermal,Baseline,2006,NAPP,0.001948636,0.158170787,0.001546582,0.125536089
Thermal,Baseline,2007,NAPP,0.001941904,0.15836401,0.00154124,0.125689446
Thermal,Baseline,2008,NAPP,0.001954642,0.159113267,0.001551349,0.126284112
