PowerCapacity,Unit,Year,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,
250,Rodenhuize,2009,BE,STUR,BIO,0.3,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0,Extraction,0.13,0.275839688,,,,,,,,,,,,
37,Herrenhausen B,1975,DE,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.101,0.194710368,,,,,,,,,,,,
40,Svartsengi,2014,IC,STUR,GEO,0.4,2,2,0.02,0.23,57,0,1.8,0.2,0.38,2,0,Extraction,0.22,0.194710368,,,,,,,,,,,,
764,Westfalen D,2015,DE,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.275839688,,,,,,,,,,,,
604,Neurath E,1976,DE,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,Extraction,0.45,0.275839688,,,,,,,,,,,,
1008,Tihange 2,1983,BE,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.5,0.34,40,0,,,,,,,,,,,,,,,
386,Ingolstadt 3 - Großmehring,1973,DE,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,,,,
386,Ingolstadt 3 - Großmehring,1973,DE,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,back-pressure,0.45,0.11,,,,,,,,,,,,
70,HR_STUR_OTH,2016,HR,STUR,OTH,0.33,0,0,0.166666667,0.166666667,0,0,0,0.2,0.33,0.166666667,0.799636364,back-pressure,0.55,0,,,,,,,,,,,,
25,Vao,2009,BE,STUR,PEA,0.44,8,6,0.02,0.23,57,0,1.8,0.4,0.35,2,0.908,Extraction,0.5,0.2,,,,,,,,,,,,
48,Müllheizkraftwerk Essen-Karnap,1987,DE,STUR,WST,0.44,5,6,0.02,0.23,57,0,1.8,0.4,0.2,2,0.162,Extraction,0.4,0.23,,,,,,,,,,,,
48,Müllheizkraftwerk Essen-Karnap,1987,DE,STUR,WST,0.44,5,6,0.02,0.23,57,0,1.8,0.4,0.2,2,0.162,back-pressure,0.4,0.23,,,,,,,,,,,,
1000000,Thermal storage,1,1,THMS,THE,0.86,0,0,0.434782609,0.434782609,0,0,0,0,0.86,0,0,,,,,,,,,10,0,1,0.86,,,
1000000,Wave energy,20,1,WAVE,WAT,1,0,0,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,
1000000,Water source heat pump,1,1,WSHP,WAT,1,0,0,1,1,0,0,0,0,0,0,0,,,,,3.2,10,0.01,0.01,,,,,,,
1000000,BE_WTOF_WIN,2016,BE,WTOF,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,,,,
1000000,BE_WTON_WIN,2016,BE,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,,,,
